,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
48,2,2,1,2,1,1,0,1,logicmail.csv
44,3,1,4,4,3,8,7,9,chrysalis.csv
43,4,3,5,9,3,1,9,12,simplewebservices.csv
50,5,6,6,13,4,1,7,13,primefaces.csv
19,6,3,3,8,7,6,13,19,autofac.csv
15,7,4,3,7,3,6,10,11,e-bio-flow.csv
24,8,2,3,4,3,2,5,7,projectfactory.csv
22,10,0,1,1,0,1,1,0,atunes.csv
14,11,2,3,5,2,2,4,5,gpsmid.csv
49,13,3,1,6,2,2,6,9,ngl.csv
51,14,1,2,2,2,5,4,4,yafdotnet.csv
17,16,5,7,7,8,10,13,17,xcsoar.csv
21,17,2,3,3,1,2,2,2,mob-sen-plat.csv
12,18,1,4,8,0,3,3,11,lphant.csv
52,22,2,1,2,2,1,0,1,jajuk.csv
42,23,2,5,12,2,1,13,12,jaxen.csv
41,24,0,3,3,1,5,9,8,xuggle.csv
53,25,1,1,3,2,3,9,9,haphazard.csv
23,26,5,10,17,4,3,3,19,gss.csv
13,27,2,3,4,6,9,10,14,grafx2.csv
20,28,5,4,6,5,4,16,15,img-browse-sort.csv
16,29,6,6,10,9,9,8,16,botsnscouts.csv
33,30,5,9,9,5,7,15,17,qtractor.csv
29,31,3,5,4,2,4,3,5,selenium.csv
4,32,0,1,0,0,1,2,1,raygina.csv
11,33,10,7,13,7,2,9,14,psycle.csv
10,34,6,6,5,10,13,16,15,sepgsql.csv
5,35,4,9,11,5,12,11,19,riff-evolve.csv
28,36,1,1,1,4,7,9,11,jaolt.csv
34,37,1,4,5,1,1,6,6,pokeglobal.csv
27,38,5,5,4,9,14,15,17,turbotrader-bos.csv
35,39,3,4,2,7,17,18,19,ktc.csv
46,40,2,1,2,2,0,2,2,xinity.csv
39,41,4,3,5,3,1,5,5,xtreemfs.csv
26,43,3,4,7,4,6,12,13,openwbem.csv
25,44,2,4,6,3,2,3,8,glas.csv
18,45,2,2,3,3,3,7,6,loki-lib.csv
38,46,5,2,6,4,1,4,5,rectracker.csv
47,47,4,11,13,7,10,13,19,galaxium.csv
40,48,0,1,0,2,11,12,12,bscwweasel.csv
45,49,1,1,2,1,1,2,1,ambulant.csv
2,50,3,2,3,4,7,7,10,olsrd.csv
7,51,2,2,3,2,6,9,8,unimrcp.csv
36,52,0,3,3,3,8,10,9,adobe-source.csv
32,53,6,1,8,8,3,11,14,tigermud.csv
31,54,4,5,9,6,6,9,13,rebecca-aiml.csv
37,55,1,1,1,2,2,2,1,silvertree.csv
6,56,2,1,5,4,10,15,14,oscarmcmaster.csv
3,57,6,6,12,6,3,13,14,echongl.csv
8,58,3,4,8,4,1,11,11,ipfilter.csv
1,59,5,4,7,6,8,14,16,opengs.csv
9,60,4,5,5,8,11,15,18,maidsafe-dht.csv
0,61,0,1,2,3,5,8,7,anaxagora.csv
30,62,3,7,12,4,2,11,19,lcfizvtop.csv
