,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,0.23,0.96,0.01,0.0,0.14,0.46,0.0,0.43,0.36,0.45,0.23,0.17,0.42,0.15,0.44,0.09,0.32
baadengine.csv,0.8,0.35,0.25,0.56,0.54,0.34,0.0,0.51,0.09,0.73,0.51,0.17,0.09,0.54,0.0,0.0,0.65
bibedt.csv,0.36,0.57,0.0,0.77,0.64,0.57,0.69,0.5,0.54,0.38,0.61,0.54,0.81,0.62,0.51,0.45,0.78
exl.csv,0.33,0.51,0.0,0.6,0.52,0.51,0.47,0.57,0.58,0.42,0.61,0.0,0.59,0.48,0.26,0.17,0.79
gdis.csv,0.52,0.23,0.58,0.0,0.63,0.46,0.54,0.53,0.51,0.0,0.63,0.85,0.52,0.42,0.79,0.59,0.76
gogoego.csv,0.41,0.22,0.0,0.78,0.63,0.43,0.71,0.52,0.41,0.51,0.52,0.53,0.56,0.33,0.75,0.46,0.65
httpcontentparser.csv,0.33,0.22,0.36,0.0,0.54,0.05,0.16,0.54,0.38,0.24,0.76,0.44,0.53,0.29,0.0,0.42,0.49
jaxlib.csv,0.33,0.23,0.25,0.0,0.59,0.57,0.6,0.61,0.23,0.54,0.63,0.99,0.54,0.53,0.37,0.42,0.79
jgameai.csv,0.0,0.0,0.02,0.0,0.15,0.5,0.0,0.09,0.12,0.12,0.0,0.83,0.23,0.0,0.33,0.09,0.0
jhotdraw.csv,0.39,0.56,0.55,0.78,0.13,0.6,0.0,0.34,0.68,0.39,0.23,0.45,0.12,0.26,0.27,0.04,0.52
loki-lib.csv,0.34,0.43,0.0,0.61,0.6,0.45,0.4,0.58,0.6,0.62,0.65,0.5,0.51,0.29,0.74,0.64,0.59
patterntesting.csv,0.0,0.13,0.0,0.09,0.61,0.13,0.4,0.13,0.42,0.66,0.09,0.47,0.58,0.17,0.56,0.48,0.3
pokeglobal.csv,0.62,0.53,0.0,0.94,0.69,0.34,0.0,0.63,0.48,0.44,0.36,0.0,0.46,0.53,0.0,0.42,0.44
werx.csv,0.05,0.47,0.98,0.0,0.13,0.0,0.0,0.23,0.0,0.0,0.05,0.0,0.0,0.09,0.0,0.0,0.45
xbg.csv,0.59,0.23,0.02,0.0,0.02,0.0,0.34,0.16,0.06,0.38,0.35,0.0,0.42,0.85,0.32,0.4,0.16
zealos.csv,0.31,0.44,0.54,0.0,0.15,0.36,0.75,0.37,0.53,0.51,0.24,0.0,0.0,0.0,0.47,0.28,0.06
