,campsoft.csv,jahshaka.csv,jmoney.csv,sblim.csv,swtfox.csv,calcubetimer.csv,freedom-erp.csv,elynx.csv,tart.csv,reaper3d.csv
calcubetimer.csv,0.13,0.0,0.36,0.35,0.0,1.0,0.13,0.0,0.0,0.0
freedom-erp.csv,0.0,0.0,0.0,0.0,0.02,0.17,0.97,0.0,0.0,0.0
jahshaka.csv,0.96,0.93,0.55,0.57,0.59,0.49,0.5,0.0,0.24,0.42
jmoney.csv,0.0,0.21,0.96,0.17,0.23,0.52,0.41,0.0,0.0,0.42
reaper3d.csv,0.0,0.0,0.42,0.63,0.53,0.38,0.39,0.0,0.0,0.9
sblim.csv,0.0,0.22,0.06,0.96,0.1,0.02,0.36,0.0,0.0,0.0
swtfox.csv,0.0,0.21,0.06,0.73,0.96,0.24,0.02,0.0,0.42,0.0
tart.csv,0.0,0.0,0.0,0.11,0.0,0.15,0.02,0.0,0.83,0.0
