,campsoft.csv,jahshaka.csv,jmoney.csv,sblim.csv,swtfox.csv,calcubetimer.csv,freedom-erp.csv,elynx.csv,tart.csv,reaper3d.csv
calcubetimer.csv,1.0,1.0,1.0,0.95,0.98,1.0,1.0,1.0,1.0,1.0
freedom-erp.csv,0.0,0.0,0.0,0.0,0.02,0.14,0.97,0.0,0.0,0.0
jahshaka.csv,1.0,0.91,0.5,0.59,0.57,0.43,0.47,0.0,0.2,0.38
jmoney.csv,0.0,0.18,0.95,0.14,0.2,0.46,0.37,0.0,0.0,0.38
reaper3d.csv,0.0,0.0,0.4,0.73,0.52,0.43,0.37,0.0,0.0,0.88
sblim.csv,0.0,0.18,0.05,0.95,0.08,0.02,0.31,0.0,0.0,0.0
swtfox.csv,0.0,0.18,0.05,0.77,0.95,0.2,0.02,0.0,0.4,0.0
tart.csv,0.0,0.0,0.0,0.09,0.0,0.12,0.02,0.0,0.8,0.0
