,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,8.0,4.0,2.0,4.0,0.0,6.0,6.0,1.0,2.0,2.0,49.0
elateportal.csv,16.0,7.0,16.0,16.0,11.0,1.0,2.0,1.0,1.0,2.0,0.0
etics.csv,4.0,2.0,0.0,1.0,7.0,7.0,0.0,1.0,0.0,10.0,1.0
lockss.csv,1.0,7.0,1.0,135.0,6.0,0.0,5.0,0.0,0.0,3.0,49.0
pcgen.csv,20.0,6.0,0.0,0.0,1.0,21.0,7.0,2.0,0.0,2.0,0.0
personalaccess.csv,4.0,5.0,9.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0
pydev.csv,11.0,8.0,0.0,8.0,12.0,6.0,3.0,0.0,1.0,0.0,1.0
rhex.csv,0.0,3.0,10.0,3.0,5.0,4.0,5.0,1.0,1.0,2.0,49.0
stuproa-cims.csv,18.0,7.0,0.0,20.0,12.0,5.0,1.0,1.0,2.0,2.0,1.0
uclmda.csv,14.0,7.0,18.0,13.0,6.0,10.0,6.0,2.0,0.0,10.0,0.0
wgs-assembler.csv,5.0,0.0,4.0,4.0,0.0,2.0,7.0,2.0,0.0,2.0,0.0
