,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.08,0.47,0.24,0.43,0.92,0.2,0.3,0.55,0.13,0.32,0.0
elateportal.csv,0.22,0.39,0.23,0.55,0.2,0.31,0.3,0.6,0.99,0.35,1.0
etics.csv,0.31,0.41,1.0,0.64,0.22,0.27,0.35,0.42,0.9,0.45,0.61
lockss.csv,0.35,0.04,0.13,0.0,0.1,0.93,0.09,0.16,0.5,0.1,0.0
pcgen.csv,0.06,0.43,0.48,0.99,0.2,0.29,0.26,0.53,0.51,0.43,0.12
personalaccess.csv,0.21,0.47,0.43,0.62,0.18,0.4,0.39,0.99,0.64,0.49,0.95
pydev.csv,0.19,0.35,0.36,0.54,0.3,0.31,0.2,0.41,0.29,0.97,0.16
rhex.csv,0.96,0.31,0.28,0.51,0.17,0.26,0.17,0.58,0.04,0.4,0.0
stuproa-cims.csv,0.24,0.53,0.35,0.56,0.29,0.34,0.91,0.8,0.88,0.55,0.48
uclmda.csv,0.17,0.43,0.25,0.47,0.13,0.22,0.25,0.54,1.0,0.22,0.94
wgs-assembler.csv,0.25,0.93,0.29,0.26,0.25,0.28,0.28,0.46,0.98,0.3,0.8
