,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,0.8,0.72,0.8,0.45,0.58,0.88,0.04,0.63,0.46,0.81,0.74,0.42,0.24,0.58,0.51,0.54,0.5,0.72
dspace-gsoc.csv,0.93,0.85,0.86,0.84,0.67,0.91,0.91,0.9,0.9,0.86,0.0,0.48,0.81,0.91,1.0,0.83,0.73,0.95
fbmanager.csv,0.75,0.74,0.0,0.72,0.58,0.92,0.65,0.61,0.55,0.7,0.81,0.64,0.47,0.59,0.38,0.51,0.52,0.71
fido.csv,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
freenet.csv,0.82,0.85,0.92,0.88,0.02,0.78,0.74,0.66,0.65,0.65,0.69,0.93,0.71,0.41,0.46,0.61,0.64,0.28
geogebra.csv,0.82,0.82,0.85,0.58,0.73,0.71,0.78,0.66,0.67,0.88,0.9,0.76,0.7,0.52,0.62,0.67,0.07,0.79
google-caja.csv,0.48,0.64,0.53,0.61,0.75,0.72,0.57,0.01,0.74,0.62,0.77,0.52,0.61,0.8,0.62,0.59,0.56,1.0
itext.csv,0.54,0.55,0.59,0.54,0.63,0.62,0.53,0.46,0.52,0.57,0.61,0.03,0.5,0.33,0.44,0.45,0.46,0.43
k3b.csv,0.66,0.77,0.68,0.7,0.75,0.75,0.52,0.57,0.56,0.0,0.71,0.48,0.43,0.94,0.43,0.55,0.59,0.19
megameknet.csv,0.76,0.66,0.81,0.51,0.63,0.74,0.69,0.74,0.59,0.73,0.69,0.73,0.49,0.74,0.58,0.14,0.59,1.04
myfaces.csv,0.66,0.76,0.78,0.81,0.84,0.69,0.58,0.77,0.06,0.85,0.85,0.6,0.32,0.89,0.77,0.79,0.62,0.72
onotoa.csv,0.75,0.68,0.59,0.71,0.89,0.06,0.76,0.68,0.79,0.48,0.7,0.41,0.71,1.0,0.86,0.88,0.78,1.03
paintown.csv,0.03,0.59,0.57,0.48,0.67,0.7,0.68,0.68,0.79,0.62,0.67,0.57,0.79,0.49,0.81,0.68,0.77,0.47
powerfolder.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,0.01,0.98,1.0,0.99,1.0,1.0
smartgwt.csv,0.55,0.76,0.71,0.54,0.59,0.65,0.74,0.77,0.7,0.71,0.83,0.6,0.34,0.02,0.77,0.82,0.62,1.03
sqlpower-library.csv,0.69,0.67,0.62,0.0,0.73,0.76,0.5,0.52,0.74,0.56,0.85,0.77,0.68,0.8,0.64,0.47,0.54,1.01
triplea.csv,0.54,0.0,0.67,0.47,0.62,0.64,0.61,0.58,0.53,0.63,0.72,0.62,0.54,0.42,0.87,0.49,0.43,0.34
