,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,1.0,1.0,0.94,1.0,0.97,0.88,0.99,0.79,0.77,1.0,1.0,0.67,0.97,0.64
cubefs.csv,0.26,0.23,0.12,0.91,0.45,0.64,0.69,0.71,0.28,0.57,0.72,1.0,0.97,0.23
gisgraphy.csv,0.0,0.14,0.38,0.01,0.06,0.36,0.04,0.55,0.3,0.15,0.4,0.17,0.06,0.77
iaml.csv,0.05,0.18,0.19,0.54,0.59,0.39,0.64,0.09,0.1,0.57,0.53,0.1,0.09,0.73
ivatamasks.csv,0.89,0.29,0.56,0.7,0.51,0.79,0.95,0.83,0.15,0.68,0.94,1.0,0.89,0.82
kolmafia.csv,0.95,0.86,1.0,0.95,0.81,0.77,0.65,0.82,0.33,0.98,0.72,0.88,0.74,0.95
ogrehg.csv,0.21,0.89,0.81,0.73,0.61,0.65,0.61,0.6,0.2,0.82,0.72,0.65,0.74,0.55
olex2.csv,1.0,0.68,0.19,1.0,0.47,0.31,0.52,0.69,0.02,0.68,0.62,0.75,0.63,0.18
openwbem.csv,0.95,0.56,0.81,0.86,0.32,0.64,0.34,0.81,0.24,0.5,0.7,0.77,0.69,0.68
oppna-program-hsatools.csv,1.0,0.89,0.81,1.0,0.8,0.69,0.57,0.21,0.15,0.9,0.94,0.5,0.71,0.59
orc.csv,0.0,0.35,0.88,0.4,0.48,0.43,0.13,0.58,0.04,0.48,0.06,0.38,0.0,0.18
ta3d.csv,0.74,0.12,0.0,0.71,0.18,0.04,0.6,0.4,0.04,0.2,0.6,0.03,0.51,0.14
umber.csv,0.79,0.75,1.0,0.96,0.99,0.64,0.7,0.92,0.54,0.78,0.91,0.78,0.74,0.86
xcmetadataservicestoolkit.csv,0.89,0.47,0.5,0.95,0.59,0.78,0.79,0.21,0.65,0.8,0.6,0.68,1.0,0.5
