,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv
empserver.csv,0.56,0.31,0.22,0.43,0.67,0.61,0.6,0.18
enlightenment.csv,0.79,0.37,0.23,0.68,0.69,0.79,0.6,0.15
ildjit.csv,0.43,0.61,0.19,0.24,0.44,0.26,0.06,0.0
jfreereport.csv,0.18,0.04,0.34,0.34,0.22,0.46,0.29,0.14
lufa-lib.csv,0.52,0.34,0.22,0.57,0.19,0.66,0.65,0.19
pcsx2.csv,0.45,0.15,0.31,0.68,0.65,0.79,0.58,0.0
psycle.csv,0.71,0.28,0.31,0.71,0.64,0.77,0.55,0.2
wxjs.csv,0.13,0.0,0.06,0.02,0.05,0.09,0.0,0.46
