,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv
empserver.csv,0.62,0.76,0.92,0.71,0.47,0.62,0.51,0.82
enlightenment.csv,1.0,1.0,1.0,0.49,1.0,0.99,1.0,1.0
ildjit.csv,0.73,0.37,0.81,0.87,0.78,0.85,0.97,1.03
jfreereport.csv,0.9,0.98,0.58,0.79,0.87,0.69,0.81,0.88
lufa-lib.csv,0.77,0.68,0.7,0.63,0.89,0.68,0.44,0.67
pcsx2.csv,0.7,0.89,0.52,0.58,0.75,0.41,0.82,1.01
psycle.csv,0.47,0.84,0.55,0.77,0.68,0.69,0.79,0.72
wxjs.csv,0.93,1.0,0.95,0.99,0.97,0.95,1.0,0.21
