,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.56,0.51,0.4,0.58,0.68,0.71,0.61,0.39,0.72,0.53
ivatamasks.csv,0.91,0.57,0.98,0.41,0.95,0.67,0.93,0.77,0.88,0.93
orc.csv,1.0,0.51,0.23,0.66,0.97,0.62,0.78,0.67,0.7,0.48
plato.csv,0.91,1.0,0.95,0.9,0.82,0.16,0.89,0.69,0.93,0.82
rodin-b-sharp.csv,0.47,1.13,0.51,0.81,0.86,0.74,0.22,0.83,0.64,0.93
umber.csv,0.12,1.03,0.96,0.83,0.82,1.0,0.86,0.91,0.57,0.95
unicase.csv,0.33,0.09,0.9,0.95,0.75,0.75,0.73,0.66,0.46,0.86
uwom.csv,1.02,0.51,0.47,0.86,0.81,0.64,0.9,0.82,0.75,0.3
vienna-add-in.csv,0.69,1.09,0.87,0.77,0.47,0.74,0.8,0.69,0.92,0.79
wpdev.csv,1.0,0.01,0.99,1.0,0.98,1.0,1.0,0.96,0.99,0.71
