,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.74,0.49,0.88,0.55,0.33,0.67,0.5,0.71,0.85,0.54
ivatamasks.csv,0.95,0.73,0.75,0.74,0.94,0.55,0.78,0.93,0.88,0.95
orc.csv,0.0,0.49,0.94,0.39,0.04,0.5,0.29,0.36,0.31,0.59
plato.csv,1.0,0.98,0.88,0.9,0.82,0.9,0.92,0.75,0.97,0.87
rodin-b-sharp.csv,0.53,0.46,0.5,0.38,0.14,0.45,0.83,0.46,0.38,0.37
umber.csv,0.89,0.75,1.0,0.93,0.75,0.98,0.97,0.82,0.62,0.83
unicase.csv,0.84,0.91,1.0,0.87,0.43,0.95,0.93,0.86,0.77,0.79
uwom.csv,0.16,0.49,0.62,0.14,0.37,0.48,0.26,0.21,0.28,0.84
vienna-add-in.csv,0.74,0.56,0.56,0.67,0.67,0.45,0.37,0.64,0.32,0.3
wpdev.csv,1.0,0.99,1.0,1.0,0.95,1.0,1.0,0.79,1.0,0.98
