,f1,g,recall,precision,pf,cdom,bellwether
1,0.54,0.565,0.435,0.46,0.46,7.0,joustsim.csv
10,0.72,0.72,0.395,0.51,0.555,1.0,gpsmid.csv
13,0.69,0.7,0.55,0.48,0.48,8.0,phonon-vlc-mplayer.csv
26,0.62,0.685,0.48,0.44,0.48,4.0,galaxium.csv
32,0.71,0.65,0.56,0.51,0.47,16.0,heekscad.csv
50,0.44,0.64,0.38,0.41,0.44,18.0,openwbem.csv
23,0.825,0.6000000000000001,0.455,0.485,0.485,1.0,magicwars.csv
24,0.6399999999999999,0.475,0.43,0.45,0.47,3.0,turbotrader-bos.csv
25,0.61,0.595,0.58,0.595,0.61,0.0,xmemcached.csv
