,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
56,2,2,1,2,1,1,0,1,logicmail.csv
51,3,2,1,2,3,5,5,5,jam-daq.csv
49,4,4,4,9,4,5,10,15,opendvr.csv
57,5,2,2,3,2,2,1,4,springside.csv
24,6,3,4,10,6,8,15,19,twostep.csv
19,7,2,4,7,1,8,11,12,joustsim.csv
28,8,6,3,9,4,2,7,10,primefaces.csv
17,9,0,1,1,0,2,4,5,jgnash.csv
18,11,0,1,1,0,1,1,0,atunes.csv
52,12,1,1,1,1,1,1,1,gpsmid.csv
58,14,2,1,1,2,1,3,2,amanda.csv
50,15,5,10,12,7,5,17,18,cascading.csv
21,16,0,2,2,5,10,11,12,openmeetings.csv
26,17,2,2,4,3,3,8,7,pcsx2.csv
15,18,3,6,8,4,7,15,15,phonon-vlc-mplayer.csv
27,19,1,1,2,1,0,3,2,lmms.csv
14,20,3,4,6,4,6,9,9,fritzing.csv
29,21,0,2,4,1,4,5,4,voms.csv
59,22,2,3,6,2,6,8,11,rsyslog.csv
16,27,2,4,5,3,3,6,8,galaxium.csv
25,28,0,3,6,2,5,11,11,capcode.csv
20,29,1,0,5,3,4,12,12,projectfactory.csv
39,30,1,4,4,9,14,15,17,myfaces.csv
34,31,4,2,5,4,1,1,4,botsnscouts.csv
13,33,3,5,7,3,3,5,11,heekscad.csv
12,34,4,2,7,3,1,0,9,mob-sen-plat.csv
5,35,2,3,4,2,1,0,3,jajuk.csv
33,36,9,7,15,5,4,6,15,gss.csv
40,37,7,12,10,8,17,11,19,ardour.csv
32,38,5,4,8,4,1,5,9,libtorrent.csv
41,39,3,3,6,4,5,1,15,owlib.csv
54,40,0,0,1,1,4,8,6,kowari.csv
47,41,1,3,3,3,8,8,9,applet2app.csv
22,42,2,2,2,2,4,2,4,adaptagrams.csv
31,43,11,7,13,10,6,15,18,openfrag.csv
30,44,6,8,8,8,12,20,19,ogrehg.csv
23,45,1,1,1,2,3,5,5,webdriver.csv
46,46,1,1,1,3,5,5,4,tolven.csv
55,47,5,6,10,3,1,8,9,sumatrapdf.csv
48,48,2,3,5,3,9,12,11,archive-crawler.csv
53,49,5,6,10,5,9,17,17,img-browse-sort.csv
8,51,3,2,4,4,5,10,8,openwbem.csv
42,52,2,4,7,3,7,17,15,jcl.csv
38,53,0,1,2,1,2,3,2,graphmak.csv
37,54,1,3,6,4,8,10,18,htmlunit.csv
43,55,2,2,5,1,2,7,8,projectts.csv
7,56,6,5,10,4,5,14,16,xuggle.csv
4,57,3,4,9,5,3,13,12,intact.csv
9,58,0,1,1,1,2,2,1,papertoolkit.csv
1,59,1,1,2,0,2,4,3,nug.csv
11,60,2,2,4,3,1,8,11,xcf.csv
0,61,0,0,1,0,3,4,4,plplot.csv
36,62,1,3,4,2,2,4,8,irplus.csv
44,63,1,1,2,1,1,0,1,freewrl.csv
45,64,0,1,1,0,1,1,0,jrdf.csv
35,65,6,5,9,5,2,10,10,unicase.csv
2,66,3,6,8,7,7,10,15,codeblocks.csv
10,67,2,5,7,4,6,10,13,opensim4opencog.csv
3,68,6,6,12,8,4,9,15,atomsite.csv
6,69,2,2,4,3,4,5,6,rebecca-aiml.csv
