,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,184.0,97.5,161.0,0.0,1641.5,1.5,97.5,389.0,409.5,2469.0
ibatisdb.csv,221.5,830.0,446.5,377.0,850.0,98.5,95.5,390.5,2413.0,93.5
jmol.csv,1102.5,97.5,836.5,565.0,2271.0,98.5,89.5,684.0,5493.0,487.5
liferea.csv,771.5,775.5,645.0,89.5,1565.0,98.5,95.5,293.0,1900.0,622.5
log4net.csv,53.0,90.5,284.0,188.0,643.5,177.0,97.5,188.0,1433.0,334.0
pclasses.csv,186.0,312.5,170.0,99.0,1360.5,177.0,97.5,48.5,2616.5,290.5
psrchive.csv,87.5,97.5,89.5,571.0,841.0,84.5,97.5,587.5,1763.0,290.5
re2c.csv,382.5,97.5,370.0,182.0,2196.0,95.5,97.5,95.5,2901.0,387.0
tycho.csv,181.0,97.5,378.5,406.5,1893.0,98.5,97.5,193.0,1600.5,487.5
xfce.csv,279.5,97.5,284.0,283.5,2822.0,98.5,97.5,683.0,3556.5,292.5
