,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.43,0.4,0.38,0.63
miranda-icq.csv,0.43,0.47,0.57,0.45
red5.csv,0.44,0.61,0.39,0.41
thrust.csv,0.58,0.85,0.75,0.67
