,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,projectfactory.csv,amygdala.csv,runuomondains.csv,somap.csv,tigermud.csv,chrysalis.csv,duplicati.csv,hydrate.csv,cme.csv
algebsql.csv,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,66.0,0.0,0.0,21.0,0.0,0.0,56.0
amygdala.csv,1.0,0.0,2.0,1.0,11.0,0.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,16.0,0.0,2.0,12.0
chrysalis.csv,0.0,0.0,4.0,3.0,0.0,4.0,67.0,6.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0
cme.csv,109.0,94.0,456.0,49.0,79.0,96.0,67.0,169.0,81.0,72.0,66.0,0.0,55.0,1.0,0.0,51.0,0.0
hydrate.csv,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,13.0
ivef-sdk.csv,3.0,0.0,18.0,1.0,2.0,0.0,9.0,169.0,1.0,1.0,0.0,0.0,0.0,42.0,0.0,1.0,56.0
jmri.csv,2.0,1.0,0.0,0.0,3.0,0.0,5.0,6.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,1.0,8.0
jython.csv,2.0,0.0,17.0,1.0,2.0,0.0,8.0,0.0,1.0,9.0,19.0,0.0,0.0,50.0,0.0,2.0,11.0
kdenlive.csv,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,13.0
opentibia.csv,2.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,2.0,22.0
projectfactory.csv,0.0,0.0,16.0,0.0,2.0,96.0,3.0,1.0,0.0,0.0,7.0,0.0,2.0,20.0,0.0,1.0,56.0
runuomondains.csv,1.0,0.0,15.0,0.0,79.0,96.0,67.0,1.0,2.0,0.0,0.0,0.0,55.0,9.0,0.0,0.0,56.0
somap.csv,3.0,0.0,18.0,1.0,2.0,1.0,10.0,1.0,1.0,2.0,7.0,0.0,0.0,42.0,0.0,3.0,23.0
taverna.csv,0.0,0.0,0.0,0.0,0.0,96.0,3.0,0.0,0.0,0.0,66.0,0.0,0.0,14.0,0.0,1.0,56.0
tigermud.csv,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,10.0,0.0,3.0,17.0
x-ray-mule.csv,3.0,1.0,16.0,0.0,2.0,0.0,10.0,169.0,2.0,2.0,66.0,0.0,0.0,46.0,0.0,51.0,3.0
