,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.0,0.85,0.0,0.48,0.36,0.0,0.95,0.92,0.53,0.95
ffigo.csv,0.62,0.86,0.75,0.46,0.34,0.8,0.97,0.86,0.39,0.93
foursquared.csv,0.0,0.99,0.9,0.67,0.44,0.67,0.0,0.75,0.0,0.0
gebr.csv,0.39,0.42,0.43,0.39,0.33,0.32,0.42,0.37,0.38,0.41
ildjit.csv,0.89,1.0,0.93,0.65,0.8,0.76,0.98,0.93,0.79,0.92
jfreereport.csv,0.9,0.76,0.83,0.44,0.9,0.69,0.63,0.83,0.62,0.89
kml.csv,0.44,0.43,0.47,0.38,0.32,0.42,0.42,0.37,0.38,0.44
ng4j.csv,0.53,0.48,0.52,0.41,0.36,0.62,0.51,0.67,0.45,0.7
pcsx2.csv,0.81,0.49,0.46,0.36,0.55,0.65,0.44,0.45,0.0,0.58
wxjs.csv,0.0,0.99,0.0,0.0,0.5,0.83,0.92,0.69,0.5,0.8
