,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.01,0.47,0.0,0.26,0.57,0.0,0.09,0.11,0.2,0.25
ffigo.csv,0.27,0.32,0.0,0.37,0.63,0.03,0.09,0.08,0.36,0.14
foursquared.csv,0.0,0.12,0.0,0.07,0.22,0.0,0.0,0.04,0.0,0.0
gebr.csv,0.75,0.97,0.18,1.0,1.0,0.69,0.88,0.93,1.0,0.93
ildjit.csv,0.2,0.22,0.16,0.24,0.02,0.23,0.15,0.17,0.16,0.15
jfreereport.csv,0.19,0.19,0.0,0.3,0.02,0.03,0.11,0.06,0.09,0.07
kml.csv,0.7,0.98,0.03,0.87,0.98,0.23,0.61,0.9,0.73,0.88
ng4j.csv,0.46,0.55,0.29,0.48,0.54,0.18,0.23,0.3,0.36,0.2
pcsx2.csv,0.25,0.48,1.0,0.85,0.48,0.1,0.42,0.5,0.0,0.54
wxjs.csv,0.01,0.15,0.0,0.02,0.04,0.1,0.04,0.2,0.02,0.08
