,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.94,0.98,0.0,0.78,1.0,0.95,0.76,0.96,0.93,0.98,0.83,0.56
dsworkbench.csv,0.0,0.29,0.07,0.37,0.06,0.34,0.57,0.19,0.48,0.12,0.24,1.0
gogoego.csv,0.06,0.0,0.0,0.05,0.06,0.24,0.41,0.12,0.23,0.15,0.63,1.0
jpaul.csv,0.12,0.17,0.14,0.0,0.16,0.13,0.13,0.0,0.25,0.12,0.0,0.11
loki-lib.csv,0.69,0.49,0.21,0.44,0.16,0.63,0.72,0.46,0.64,0.59,0.0,0.67
motu.csv,0.06,0.15,0.07,0.15,0.0,0.08,0.0,0.02,0.34,0.1,0.09,0.22
mp-rechnungs-und-kundenverwaltung.csv,0.12,0.28,0.21,0.15,0.03,0.18,0.17,0.06,0.0,0.12,0.91,0.56
rtrt-on-gpu.csv,0.38,0.48,0.64,0.37,0.09,0.32,0.5,0.0,0.64,0.37,0.41,0.33
scenemonitor.csv,0.69,0.76,0.64,0.73,0.0,0.74,0.78,0.77,0.81,0.49,0.61,0.67
xstore.csv,0.56,0.44,0.29,0.24,0.16,0.45,0.57,0.15,0.47,0.02,0.43,0.33
yarp0.csv,0.5,0.47,0.57,0.41,0.41,0.0,0.46,0.62,0.7,0.32,0.7,0.67
zemljanka.csv,0.88,0.95,1.0,1.0,1.0,0.66,0.89,1.0,0.99,1.0,0.35,0.0
