,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.24,0.09,1.0,0.57,0.0,0.21,0.61,0.17,0.27,0.09,0.49,0.66
dsworkbench.csv,1.0,0.31,0.15,0.6,0.24,0.53,0.66,0.0,0.64,0.13,0.56,0.0
gogoego.csv,0.51,1.0,0.1,0.28,0.29,0.14,0.61,0.12,0.42,0.44,0.48,0.0
jpaul.csv,0.35,0.33,0.21,1.0,0.45,0.07,0.36,0.0,0.49,0.28,0.0,0.17
loki-lib.csv,0.64,0.64,0.37,0.63,0.4,0.65,0.63,0.51,0.64,0.54,0.98,0.68
motu.csv,0.12,0.38,0.1,0.63,0.0,0.07,1.0,0.12,0.5,0.28,0.36,0.18
mp-rechnungs-und-kundenverwaltung.csv,0.28,0.46,0.27,0.46,0.06,0.35,0.35,0.0,1.0,0.3,0.3,0.68
rtrt-on-gpu.csv,0.64,0.53,0.5,0.5,0.35,0.53,0.4,0.92,0.6,0.56,0.47,0.62
scenemonitor.csv,0.64,0.59,0.51,0.58,1.0,0.49,0.54,0.45,0.52,0.67,0.55,0.61
xstore.csv,0.53,0.64,0.37,0.56,0.5,0.51,0.75,0.45,0.56,1.0,0.5,0.57
yarp0.csv,0.53,0.59,0.53,0.44,0.47,1.0,0.34,0.75,0.55,0.49,0.47,0.6
zemljanka.csv,0.4,0.21,0.0,0.0,0.0,0.67,0.38,0.0,0.05,0.0,0.44,1.0
