,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.07,0.27,0.11,0.06,0.04
k3b.csv,0.71,0.91,0.75,0.86,0.21
myfaces.csv,0.11,0.73,0.02,0.18,0.21
robocode.csv,0.25,0.7,0.52,0.36,0.42
zildo.csv,0.11,0.23,0.25,0.23,0.12
