,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.09,0.68,0.83,0.56
google-caja.csv,0.13,0.87,0.9,0.76
itext.csv,0.16,0.85,0.82,0.75
plee-the-bear.csv,0.28,0.72,0.68,0.54
