,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.45,0.21,0.39,0.29,0.63,0.3,0.24,0.23,0.75,0.2
gamestone.csv,0.0,0.19,0.11,0.4,0.25,0.0,0.01,0.33,0.21,0.2
gbif-providertoolkit.csv,0.83,0.54,0.48,0.56,0.22,0.09,0.73,0.37,0.35,0.7
heekscad.csv,0.28,0.23,0.28,0.46,0.54,0.39,0.7,0.43,0.69,0.6
igarden.csv,0.17,0.27,0.07,0.38,0.24,0.13,0.23,0.11,0.42,0.3
levent.csv,0.7,0.37,0.08,0.06,0.61,0.35,0.64,0.09,0.0,0.2
owlapi.csv,0.85,0.44,0.49,0.24,0.81,0.52,0.96,0.25,0.56,0.6
pnotepad.csv,0.19,0.5,0.73,0.97,0.9,0.48,0.51,0.85,1.0,0.0
quark.csv,0.15,0.02,0.06,0.06,0.1,0.0,0.0,0.12,0.25,0.0
xcsoar.csv,0.26,0.13,0.24,0.46,0.33,0.3,0.31,0.34,1.0,0.0
