,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,xcmetadataservicestoolkit.csv,arm-webradio.csv,gisgraphy.csv
arm-webradio.csv,0.44,0.42,0.31,0.41,0.0,0.17,0.5,0.57,0.42,0.79,0.4
crisscross.csv,0.51,0.37,0.44,0.87,0.16,0.6,0.57,0.19,0.74,0.42,0.49
cubefs.csv,0.25,0.37,0.3,0.75,0.08,0.56,0.62,0.77,0.72,0.42,0.19
gisgraphy.csv,0.24,0.0,0.0,0.21,0.0,0.02,0.07,0.59,0.25,0.0,0.7
iaml.csv,0.12,0.18,0.25,0.09,0.18,0.45,0.69,0.12,0.53,0.24,0.41
ivataopenportal.csv,0.54,0.37,0.34,0.89,0.17,0.72,0.64,0.81,0.78,0.42,0.47
mb-unit.csv,0.51,0.28,0.28,0.79,0.16,0.68,0.55,0.42,0.81,0.38,0.4
mvdsv.csv,0.07,0.2,0.0,0.16,0.75,0.02,0.14,0.16,0.3,0.0,0.4
nova.csv,0.38,0.62,0.29,0.52,0.0,0.31,0.56,0.61,0.46,0.42,0.32
openwbem.csv,0.56,0.22,0.3,0.63,0.28,0.56,0.33,0.61,0.65,0.5,0.51
xcmetadataservicestoolkit.csv,0.39,0.35,0.2,0.67,0.21,0.57,0.67,0.37,0.84,0.42,0.27
