,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv
benojt.csv,0.47,0.18,0.47,1.0,0.07,0.44
jahshaka.csv,0.41,1.0,0.52,0.94,0.1,0.52
jam-daq.csv,0.6,0.57,0.52,0.98,0.15,0.96
jatlas.csv,0.6,0.0,1.0,1.0,1.0,0.83
jedit.csv,1.0,0.24,0.51,1.0,0.07,0.57
open-media-library.csv,0.45,0.36,1.0,1.0,0.08,0.64
