,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,0.17,0.54,0.28,0.29,0.48,0.26,0.81,0.34,0.04,0.06,0.16,0.6,0.34,0.77,0.48,0.58,0.38
beast-mcmc.csv,0.5,0.54,0.74,0.65,0.33,0.6,0.75,0.0,0.63,0.64,0.27,0.44,0.51,0.62,0.0,0.53,0.57
bscwweasel.csv,0.02,0.46,0.38,0.63,0.53,0.16,0.57,0.59,0.72,0.2,0.53,0.48,0.54,0.0,0.29,0.58,0.48
codeblocks.csv,0.57,0.51,0.37,0.49,0.54,0.7,0.76,0.43,0.19,0.23,0.11,0.52,0.59,0.41,0.34,0.69,0.51
gamestone.csv,0.09,0.87,0.24,0.43,0.26,0.09,0.27,0.21,0.06,0.2,0.33,0.1,0.1,0.64,0.07,0.38,0.27
iaml.csv,0.17,0.43,0.65,0.0,0.14,0.24,0.43,0.35,0.24,0.61,0.69,0.37,0.53,0.24,0.07,0.31,0.53
jbasic.csv,0.58,0.29,0.62,0.38,0.77,0.09,0.61,0.37,0.44,0.77,0.37,0.57,0.24,0.56,0.44,0.43,0.51
modplug.csv,0.37,0.43,0.52,0.33,0.4,0.56,0.13,0.38,0.0,0.45,0.13,0.0,0.45,0.05,0.09,0.77,0.45
pdfedit.csv,0.64,0.43,0.49,0.18,0.76,0.4,0.37,0.43,0.3,0.48,0.33,0.54,0.18,0.83,0.64,0.58,0.5
redshell.csv,0.32,0.6,0.5,0.57,0.48,0.27,0.33,0.75,0.0,0.47,0.57,0.39,0.45,0.42,0.21,0.16,0.53
sabbu.csv,0.74,0.0,0.67,0.18,0.72,0.28,0.53,0.46,0.54,0.72,0.31,0.49,0.2,0.62,0.47,0.3,0.38
silvertree.csv,0.56,0.52,0.59,0.63,0.58,0.56,0.62,0.54,0.7,0.57,0.49,0.72,0.37,0.62,0.0,0.42,0.46
t-2.csv,0.26,0.34,0.57,0.41,0.49,0.52,0.54,0.43,0.28,0.1,0.6,0.47,0.66,0.22,0.3,0.27,0.28
xinity.csv,0.35,0.14,0.51,0.34,0.48,0.44,0.38,0.56,0.43,0.44,0.57,0.31,0.17,0.23,0.66,0.34,0.75
xreal.csv,0.12,0.29,0.3,0.18,0.32,0.2,0.18,0.27,0.24,0.48,0.3,0.24,0.06,1.0,0.18,0.22,0.35
zabbix.csv,0.46,0.29,0.65,0.42,0.7,0.51,0.41,0.55,0.53,0.75,0.22,0.71,0.24,0.87,0.53,0.47,0.53
zengine.csv,0.65,0.3,0.09,0.0,0.0,0.13,0.05,0.0,0.85,0.0,0.42,0.0,0.05,0.17,0.3,0.0,0.17
