,id,count_recall,count_precision,count_pf,cdom_score,bellwether
55,2,1,1,1,0,logicmail.csv
51,3,3,4,7,9,personalaccess.csv
50,4,1,3,15,15,mevenide.csv
57,5,1,6,8,10,gabel.csv
21,6,8,9,5,13,triplea.csv
17,7,4,4,10,17,e-bio-flow.csv
27,8,1,10,19,18,mediaportal.csv
16,9,2,2,3,9,pustefix.csv
24,10,2,2,9,8,jam-daq.csv
56,13,2,0,1,5,pi-qmc.csv
58,14,2,1,1,1,gpsmid.csv
18,16,5,7,10,13,riff-evolve.csv
23,17,1,1,5,5,fm-classic.csv
14,18,1,2,5,7,chrysalis.csv
25,19,7,5,1,8,twostep.csv
13,20,3,2,5,7,thout.csv
28,21,3,0,4,6,kftpgrabber.csv
59,22,5,4,13,16,projecteqemu.csv
49,23,8,6,8,14,qtractor.csv
48,24,2,7,9,9,exordium.csv
60,25,7,5,4,8,mobicents.csv
26,26,1,3,5,6,re2c.csv
15,27,3,0,3,4,findbugs.csv
22,28,2,8,14,13,cornerstone.csv
38,30,2,1,4,5,powerfolder-.csv
33,31,1,5,9,8,foursquared.csv
5,32,1,6,15,14,lportal.csv
12,33,2,0,6,11,htmlunit.csv
11,34,1,2,3,3,arcallians.csv
6,35,3,2,1,1,maya-work-in-progress.csv
32,36,3,4,5,7,kmess.csv
39,37,1,0,4,6,quarkplusplus.csv
31,38,5,0,1,6,net-snmp.csv
40,39,0,1,3,2,zorannt.csv
53,40,4,3,2,8,superwaba.csv
46,41,13,7,6,18,xtreemfs.csv
19,42,0,2,4,3,img-browse-sort.csv
30,43,5,9,9,15,doomlegacy.csv
29,44,6,5,13,17,truevision.csv
20,45,1,5,11,10,genoviz.csv
45,46,8,3,6,9,olap-navigator.csv
54,47,3,3,10,11,ondex.csv
47,48,2,3,12,13,gtad.csv
52,49,3,5,7,10,ktc.csv
8,51,3,3,7,10,jstock.csv
41,52,1,3,13,13,wxcode.csv
37,53,3,4,5,8,zildo.csv
36,54,2,1,2,2,olsrd.csv
42,55,2,3,3,6,moving-pictures.csv
4,57,2,1,6,5,h2database.csv
9,58,4,6,7,10,modellus.csv
1,59,1,2,3,3,columba.csv
0,61,1,8,13,16,rodin-b-sharp.csv
35,62,5,3,5,8,jsr308-langtools.csv
43,63,2,4,12,16,m-a-d-n-e-s-s.csv
44,64,1,7,12,16,mptvseries.csv
34,65,1,3,12,12,gwanted.csv
2,66,4,5,7,13,opengs.csv
10,67,5,7,6,15,co-ode-owl-plugins.csv
3,68,1,0,3,3,jrdf.csv
7,69,2,0,1,1,ambulant.csv
