,sqlpower-library.csv,jlinalg.csv,array4j.csv,optalgtoolkit.csv,capcode.csv,freenet.csv,intact.csv,pustefix.csv,nassp.csv,fm-classic.csv,haphazard.csv,anaxagora.csv,ipfire-wall.csv,tart.csv,super-tux.csv,soar.csv,hannosset.csv,bzbyte.csv,ondex.csv,web-cat.csv
anaxagora.csv,0.0,0.0,5.0,0.0,23.0,2.0,1.0,4.0,13.0,24.0,11.0,0.0,3.0,23.0,0.0,0.0,3.0,1.0,2.0,0.0
array4j.csv,0.0,0.0,0.0,9.0,9.0,1.0,1.0,4.0,6.0,34.0,5.0,0.0,7.0,10.0,0.0,1.0,14.0,1.0,2.0,2.0
bzbyte.csv,0.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,57.0,29.0,0.0,6.0,8.0,93.0,0.0,55.0,19.0,0.0,195.0,49.0
capcode.csv,0.0,0.0,11.0,3.0,0.0,4.0,7.0,2.0,14.0,12.0,3.0,5.0,13.0,7.0,0.0,0.0,18.0,0.0,2.0,3.0
fm-classic.csv,0.0,0.0,1.0,2.0,7.0,0.0,102.0,84.0,2.0,2.0,0.0,2.0,1.0,93.0,0.0,0.0,74.0,0.0,0.0,49.0
freenet.csv,0.0,0.0,5.0,0.0,0.0,2.0,1.0,3.0,18.0,29.0,0.0,5.0,8.0,14.0,0.0,0.0,21.0,0.0,2.0,1.0
hannosset.csv,0.0,0.0,0.0,0.0,82.0,1.0,1.0,4.0,2.0,70.0,1.0,6.0,54.0,93.0,0.0,0.0,6.0,0.0,1.0,1.0
haphazard.csv,1.0,1.0,78.0,1.0,19.0,1.0,2.0,1.0,4.0,70.0,0.0,0.0,3.0,93.0,0.0,0.0,74.0,0.0,6.0,1.0
intact.csv,1.0,0.0,3.0,3.0,21.0,0.0,0.0,0.0,2.0,70.0,8.0,4.0,2.0,17.0,0.0,2.0,7.0,2.0,0.0,0.0
ipfire-wall.csv,0.0,0.0,78.0,0.0,13.0,0.0,1.0,7.0,12.0,28.0,0.0,4.0,1.0,7.0,0.0,3.0,74.0,0.0,4.0,0.0
jlinalg.csv,0.0,0.0,7.0,0.0,13.0,6.0,8.0,9.0,18.0,27.0,0.0,11.0,3.0,12.0,0.0,0.0,4.0,0.0,2.0,0.0
nassp.csv,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,9.0,0.0,3.0,2.0,18.0,0.0,0.0,74.0,0.0,1.0,1.0
ondex.csv,0.0,0.0,4.0,0.0,10.0,1.0,3.0,3.0,1.0,19.0,0.0,4.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0
optalgtoolkit.csv,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,7.0,15.0,1.0,0.0,11.0,2.0,0.0,0.0,74.0,2.0,1.0,3.0
pustefix.csv,0.0,0.0,78.0,0.0,17.0,0.0,4.0,0.0,10.0,23.0,0.0,3.0,5.0,93.0,0.0,55.0,10.0,0.0,3.0,4.0
soar.csv,0.0,0.0,5.0,0.0,0.0,2.0,1.0,4.0,18.0,28.0,0.0,7.0,8.0,12.0,0.0,0.0,19.0,0.0,13.0,4.0
sqlpower-library.csv,0.0,0.0,12.0,3.0,0.0,4.0,0.0,3.0,18.0,24.0,0.0,4.0,8.0,11.0,0.0,0.0,19.0,2.0,2.0,0.0
super-tux.csv,0.0,0.0,3.0,0.0,9.0,4.0,1.0,4.0,7.0,70.0,5.0,3.0,6.0,10.0,0.0,0.0,18.0,2.0,0.0,2.0
tart.csv,0.0,1.0,13.0,2.0,16.0,2.0,4.0,3.0,7.0,20.0,0.0,4.0,4.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0
web-cat.csv,0.0,0.0,5.0,3.0,12.0,2.0,0.0,3.0,13.0,20.0,0.0,5.0,4.0,7.0,0.0,0.0,12.0,0.0,2.0,0.0
