,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv
adonthell.csv,0.0,0.7,0.94,0.88,0.25,0.46,0.37,0.8,0.34,0.43,0.33,0.12,0.12,1.0,0.25,0.84,0.58,0.96,0.78,0.19
autofac.csv,0.5,0.78,0.06,0.15,0.21,0.5,0.37,0.74,0.06,0.57,0.81,0.67,0.36,0.68,0.37,0.13,0.5,0.09,0.49,0.49
avisynth2.csv,0.0,0.18,0.06,0.09,0.04,0.0,0.05,0.03,0.0,0.03,0.07,0.2,0.08,0.05,0.02,0.02,0.07,0.13,0.02,0.0
azureus.csv,0.0,0.95,0.69,0.85,0.31,0.54,0.9,0.87,0.66,0.87,0.5,0.17,0.48,0.66,0.86,1.0,0.69,0.87,0.61,0.19
coot.csv,1.0,0.35,0.0,0.09,0.35,0.68,0.85,0.59,0.75,0.71,0.69,0.75,0.8,0.03,0.92,0.58,0.52,0.02,0.61,0.27
dsworkbench.csv,0.5,0.57,0.19,0.33,0.38,0.5,0.63,0.59,0.5,0.43,0.33,0.31,0.16,0.56,0.65,0.96,0.58,0.48,0.68,0.68
forester-atv.csv,1.0,0.28,0.62,0.03,0.04,0.07,0.27,0.06,0.56,0.22,0.19,0.99,1.0,0.05,0.04,0.18,0.29,0.02,0.15,0.35
freelords.csv,0.5,0.9,0.88,0.36,0.94,0.36,0.66,0.79,0.62,0.59,0.69,0.92,0.72,0.97,0.51,0.49,0.77,0.37,0.93,0.95
gabel.csv,0.0,0.38,0.44,0.03,0.12,0.07,0.17,0.51,0.09,0.17,0.4,0.17,0.56,0.31,0.2,0.04,0.38,0.0,0.27,0.08
geotools.csv,0.5,0.68,0.75,0.3,0.73,0.39,0.34,0.86,0.41,0.72,0.48,0.76,0.92,0.35,0.33,0.53,0.31,0.67,0.78,0.81
gephex.csv,0.0,0.62,1.0,0.94,0.75,0.5,0.66,0.77,0.44,0.72,0.52,0.3,0.96,0.34,0.86,1.0,0.63,0.67,0.27,0.89
google-collections.csv,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,0.95,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jpaul.csv,0.5,0.57,0.88,0.24,0.17,0.18,0.27,0.43,0.5,0.49,0.69,0.78,0.72,0.47,0.16,0.13,0.52,0.3,0.12,0.49
mycila.csv,1.0,0.2,0.75,0.97,1.0,0.32,0.66,0.46,0.97,0.74,0.14,0.34,0.52,0.61,0.71,0.87,0.5,0.72,0.78,0.38
neodatis-odb.csv,1.0,0.82,0.06,0.48,0.12,0.25,0.73,0.26,0.34,0.62,0.29,0.44,0.2,0.71,0.41,0.44,0.37,0.11,0.49,0.19
octet.csv,0.0,0.48,0.44,0.61,0.12,0.14,0.49,0.24,0.09,0.25,0.4,0.3,0.16,0.84,0.14,0.64,0.3,0.09,0.56,0.51
pokenetonline.csv,0.0,0.82,0.94,0.88,0.96,0.61,0.71,0.87,0.47,0.82,0.74,0.91,0.2,0.98,0.9,0.8,0.79,0.67,0.9,0.84
scenemonitor.csv,0.0,0.55,0.69,0.33,0.31,0.07,0.22,0.64,0.12,0.45,0.52,0.54,0.68,0.11,0.08,0.4,0.41,0.28,0.32,0.35
servicestack.csv,0.0,0.28,0.5,0.09,0.0,0.11,0.02,0.21,0.03,0.05,0.19,0.09,0.04,0.26,0.04,0.0,0.12,0.17,0.0,0.0
twostep.csv,0.0,0.82,0.75,0.82,0.33,0.54,0.61,0.83,0.84,0.58,0.88,0.82,0.6,0.89,0.51,0.22,0.71,0.61,0.8,0.46
