,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.32,0.09,0.33,0.57,0.09,0.1,0.0,0.05,0.08,0.0
flylegacy.csv,0.92,0.39,0.68,0.36,0.28,0.5,1.0,0.36,0.2,0.36
jguard.csv,0.8,0.36,0.7,0.76,0.8,0.73,0.79,0.85,0.96,0.36
m-a-d-n-e-s-s.csv,0.48,0.09,0.65,0.3,0.08,0.07,0.0,0.13,0.72,0.2
mob-sen-plat.csv,0.76,0.79,0.81,0.33,0.52,0.6,0.43,0.44,0.72,0.36
raygina.csv,0.68,0.0,0.73,0.81,0.22,0.33,0.14,0.26,0.24,0.44
st-filteredstatistics.csv,1.0,0.36,0.94,0.94,0.75,0.7,1.0,0.79,1.0,0.96
upp-mirror.csv,0.32,0.03,0.57,0.33,0.69,0.3,0.21,0.38,0.48,0.56
wishmaster.csv,0.24,0.21,0.46,0.4,0.62,0.53,0.64,0.1,0.6,0.44
yarp.csv,0.2,0.03,0.22,0.03,0.0,0.3,0.14,0.08,0.2,0.6
