,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.59,0.69,0.8,0.26,0.76,0.2,0.1,0.34,0.47,0.33,0.26,1.0,0.41,0.45,0.3,0.44
arcallians.csv,0.61,0.57,0.83,0.49,0.98,0.08,0.07,0.4,0.4,0.6,0.48,0.68,0.55,0.54,0.57,0.34
arianne.csv,1.0,0.55,0.7,0.39,0.63,0.12,0.14,0.24,0.54,0.4,0.16,0.63,0.4,0.4,0.33,0.42
aztec.csv,0.49,0.47,0.83,0.48,0.43,1.0,0.09,0.08,0.45,0.5,0.1,0.77,0.49,0.52,0.0,0.5
bl-toolkit.csv,0.65,0.6,1.0,0.49,0.83,0.05,0.13,0.25,0.49,0.75,0.21,0.64,0.41,0.43,0.29,0.34
clamav.csv,0.54,0.63,0.58,0.34,0.53,0.05,0.16,0.34,0.33,1.0,0.23,0.75,0.47,0.48,0.3,0.5
gnupdate.csv,0.58,0.56,0.91,0.58,0.65,0.19,0.05,0.5,0.49,0.5,0.95,0.72,0.48,0.54,0.32,0.38
les-indemodables.csv,0.66,0.58,0.68,0.41,0.79,0.05,0.21,0.28,0.63,0.5,0.22,0.67,0.52,0.5,0.43,1.0
mbse.csv,0.41,0.48,0.58,0.09,0.49,0.11,0.26,0.97,0.5,0.33,0.16,0.67,0.43,0.4,0.22,0.21
ns-3-dev-def-routing.csv,0.65,0.62,0.75,0.51,0.57,0.09,0.04,0.33,0.48,0.37,0.16,0.6,0.55,0.99,0.54,0.79
openxava.csv,0.51,0.58,0.8,0.14,0.29,0.02,1.0,0.25,0.54,0.36,0.14,0.66,0.52,0.42,0.23,0.47
phonon-vlc-mplayer.csv,0.64,0.55,0.76,0.99,0.53,0.26,0.08,0.41,0.61,0.33,0.15,0.72,0.57,0.45,0.2,0.44
qgis.csv,0.57,0.99,0.67,0.45,0.57,0.08,0.15,0.41,0.56,0.4,0.28,0.73,0.56,0.51,0.24,0.45
vars-redux.csv,0.64,0.7,0.78,0.59,0.6,0.17,0.14,0.41,1.0,0.3,0.31,0.78,0.56,0.6,0.21,0.5
xapian.csv,0.64,0.52,0.7,0.5,0.48,0.04,0.15,0.38,0.43,0.35,0.2,0.65,0.59,0.41,1.0,0.33
yafdotnet.csv,0.48,0.51,0.7,0.26,0.51,0.08,0.11,0.25,0.41,0.37,0.15,0.66,1.0,0.42,0.2,0.31
