,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.27,0.17,0.14,0.57,0.1,0.04,0.84,0.42,0.55,0.11,0.43,0.0,0.59,0.52,0.26,0.43
arcallians.csv,0.24,0.43,0.18,0.28,0.02,0.23,0.86,0.22,0.46,0.11,0.13,0.27,0.35,0.29,0.1,0.68
arianne.csv,0.0,0.49,0.59,0.42,0.42,0.29,0.55,0.52,0.48,0.25,0.48,0.55,0.68,0.69,0.33,0.65
aztec.csv,0.57,0.11,0.05,0.07,0.2,0.0,0.55,0.06,0.46,0.22,0.1,0.16,0.2,0.11,0.06,0.03
bl-toolkit.csv,0.25,0.31,0.0,0.22,0.12,0.24,0.74,1.0,0.54,0.03,0.72,0.86,0.61,0.65,0.06,0.98
clamav.csv,0.25,0.31,0.23,0.36,0.22,0.4,0.12,0.47,0.21,0.0,0.35,0.18,0.23,0.38,0.38,0.31
gnupdate.csv,0.23,0.48,0.05,0.15,0.4,0.12,0.82,0.07,0.64,0.25,0.01,0.28,0.44,0.3,0.28,0.66
les-indemodables.csv,0.11,0.26,0.32,0.24,0.15,0.51,0.25,0.47,0.25,0.28,0.6,0.29,0.23,0.35,0.19,0.0
mbse.csv,0.59,0.39,0.36,0.7,0.55,0.17,0.23,0.01,0.43,0.56,0.74,0.61,0.32,0.42,0.69,0.4
ns-3-dev-def-routing.csv,0.06,0.17,0.09,0.11,0.6,0.29,0.18,0.58,0.16,0.72,0.57,0.57,0.19,0.01,0.07,0.05
openxava.csv,0.41,0.32,0.23,0.45,0.38,0.56,0.0,0.61,0.24,0.58,0.43,0.51,0.24,0.4,0.65,0.42
phonon-vlc-mplayer.csv,0.21,0.49,0.55,0.01,0.35,0.1,0.91,0.19,0.16,0.92,0.87,0.22,0.38,0.38,0.36,0.54
qgis.csv,0.25,0.01,0.32,0.29,0.22,0.32,0.42,0.22,0.37,0.17,0.3,0.24,0.2,0.32,0.44,0.25
vars-redux.csv,0.18,0.15,0.32,0.09,0.25,0.05,0.52,0.17,0.0,0.19,0.23,0.19,0.23,0.2,0.34,0.32
xapian.csv,0.25,0.61,0.41,0.2,0.8,0.23,0.58,0.17,0.57,0.78,0.76,0.62,0.18,0.61,0.0,0.48
yafdotnet.csv,0.77,0.76,0.91,0.69,0.7,0.82,0.67,0.97,0.69,0.81,0.83,0.64,0.0,0.65,0.81,0.88
