,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.48,0.5,0.37,0.35,0.43,0.15,0.19,0.45,0.55,0.15,0.37,0.99,0.49,0.53,0.34,0.51
arcallians.csv,0.45,0.59,0.54,0.58,0.98,0.12,0.12,0.42,0.42,0.4,0.49,0.44,0.58,0.53,0.51,0.44
arianne.csv,0.96,0.58,0.66,0.51,0.64,0.2,0.24,0.32,0.63,0.34,0.23,0.59,0.5,0.52,0.41,0.56
aztec.csv,0.52,0.17,0.18,0.27,0.21,0.91,0.15,0.03,0.48,0.44,0.07,0.46,0.34,0.27,0.0,0.1
bl-toolkit.csv,0.54,0.54,0.99,0.54,0.68,0.08,0.23,0.4,0.57,0.25,0.33,0.75,0.49,0.55,0.12,0.49
clamav.csv,0.38,0.59,0.23,0.41,0.32,0.08,0.17,0.47,0.2,1.0,0.31,0.44,0.36,0.51,0.38,0.52
gnupdate.csv,0.41,0.6,0.33,0.58,0.67,0.24,0.09,0.3,0.63,0.47,0.95,0.53,0.51,0.54,0.38,0.49
les-indemodables.csv,0.31,0.46,0.42,0.44,0.63,0.09,0.31,0.37,0.61,0.5,0.34,0.47,0.42,0.52,0.46,0.97
mbse.csv,0.4,0.43,0.32,0.12,0.48,0.15,0.38,0.91,0.54,0.4,0.25,0.71,0.38,0.42,0.33,0.2
ns-3-dev-def-routing.csv,0.18,0.4,0.21,0.38,0.64,0.15,0.05,0.48,0.29,0.49,0.23,0.56,0.4,0.94,0.36,0.43
openxava.csv,0.47,0.51,0.53,0.17,0.18,0.04,1.0,0.35,0.45,0.45,0.19,0.61,0.43,0.44,0.34,0.55
phonon-vlc-mplayer.csv,0.46,0.59,0.75,0.97,0.43,0.32,0.15,0.41,0.44,0.46,0.24,0.45,0.63,0.46,0.24,0.56
qgis.csv,0.43,0.99,0.39,0.53,0.37,0.13,0.24,0.44,0.6,0.27,0.36,0.49,0.44,0.51,0.31,0.39
vars-redux.csv,0.42,0.48,0.61,0.43,0.43,0.14,0.23,0.39,0.99,0.2,0.37,0.52,0.48,0.51,0.25,0.53
xapian.csv,0.54,0.59,0.52,0.52,0.55,0.06,0.26,0.35,0.5,0.48,0.32,0.66,0.44,0.5,0.96,0.36
yafdotnet.csv,0.58,0.63,0.79,0.37,0.57,0.15,0.19,0.39,0.5,0.52,0.25,0.69,0.98,0.53,0.31,0.43
