,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.66,0.63,0.77,0.73,0.71,0.88,0.86,0.54,0.64,0.91,0.55,0.02,0.72,0.63,0.67,0.59
arcallians.csv,0.68,0.58,0.63,0.4,0.03,0.79,0.99,0.6,0.74,0.71,0.52,0.72,0.53,0.56,0.55,0.78
arianne.csv,0.08,0.62,0.7,0.49,0.54,0.58,0.61,0.72,0.54,0.74,0.77,0.71,0.77,0.74,0.57,0.67
aztec.csv,0.73,0.9,0.9,0.82,0.89,0.17,0.79,0.99,0.67,0.64,0.96,0.69,0.76,0.82,1.0,0.95
bl-toolkit.csv,0.59,0.6,0.02,0.46,0.45,0.87,0.75,1.0,0.62,0.85,0.75,0.86,0.73,0.7,0.92,0.99
clamav.csv,0.75,0.55,0.89,0.61,0.8,0.85,0.82,0.54,0.88,0.0,0.65,0.71,0.75,0.59,0.59,0.55
gnupdate.csv,0.72,0.6,0.8,0.45,0.51,0.68,1.03,0.79,0.66,0.6,0.05,0.64,0.62,0.55,0.61,0.73
les-indemodables.csv,0.8,0.67,0.77,0.59,0.5,0.84,0.5,0.65,0.48,0.57,0.65,0.71,0.69,0.57,0.54,0.05
mbse.csv,0.84,0.73,0.86,1.07,0.76,0.77,0.39,0.14,0.59,0.75,0.84,0.66,0.73,0.7,0.77,0.9
ns-3-dev-def-routing.csv,0.89,0.72,0.88,0.7,0.66,0.69,0.95,0.59,0.81,0.76,0.79,0.75,0.71,0.1,0.73,0.7
openxava.csv,0.7,0.63,0.64,0.92,0.94,1.0,0.0,0.73,0.66,0.71,0.82,0.66,0.68,0.68,0.73,0.54
phonon-vlc-mplayer.csv,0.67,0.61,0.6,0.04,0.73,0.59,0.96,0.63,0.67,0.94,0.94,0.71,0.48,0.65,0.78,0.59
qgis.csv,0.7,0.02,0.79,0.45,0.76,0.74,0.57,0.57,0.51,0.82,0.58,0.67,0.67,0.58,0.7,0.69
vars-redux.csv,0.71,0.65,0.59,0.67,0.7,0.88,0.6,0.65,0.02,0.87,0.6,0.64,0.62,0.58,0.77,0.54
xapian.csv,0.6,0.69,0.71,0.5,0.87,0.9,0.6,0.7,0.7,0.82,0.78,0.7,0.67,0.7,0.08,0.76
yafdotnet.csv,0.82,0.78,0.91,0.77,0.78,0.83,0.74,0.98,0.77,0.82,0.9,0.7,0.03,0.71,0.86,0.93
