,paintown.csv,triplea.csv,fbmanager.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,itext.csv,powerfolder.csv,fido.csv,megameknet.csv,fityk.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.73,0.82,0.74,0.49,0.7,0.04,0.6,0.41,0.68,0.67,0.54,0.54,0.54,0.72,0.56,0.66,0.48,0.79,0.57
fbmanager.csv,0.66,0.63,0.03,0.59,0.84,0.5,0.48,0.46,0.64,0.47,0.6,0.72,0.35,0.64,0.48,0.51,0.47,0.45,0.74
fido.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0
fityk.csv,0.64,0.68,0.68,0.53,0.87,0.77,0.49,0.66,0.6,0.4,0.72,0.52,0.6,0.06,0.81,0.62,0.55,0.66,0.59
fleet-simulator.csv,0.66,0.86,0.58,0.91,0.94,0.93,0.9,0.85,0.76,0.8,0.87,0.95,0.81,0.74,0.0,0.77,0.89,1.01,0.82
freenet.csv,0.83,0.76,0.65,0.02,0.8,0.61,0.68,0.51,0.69,0.78,0.78,1.07,0.6,0.55,0.59,0.63,0.56,0.22,0.68
geogebra.csv,0.84,0.58,0.85,0.86,0.71,0.6,0.73,0.63,0.9,0.84,0.67,1.3,0.61,0.91,0.07,0.78,0.05,0.84,0.65
google-caja.csv,0.46,0.71,0.49,0.77,0.74,0.7,0.0,0.63,0.53,0.42,0.55,0.83,0.57,0.51,0.24,0.67,0.71,1.01,0.52
hibernate.csv,0.86,0.68,0.85,0.72,0.85,0.76,0.61,0.85,0.94,0.62,0.49,0.64,0.72,0.78,1.15,0.06,0.6,1.05,0.59
itext.csv,0.85,0.66,0.79,0.56,0.68,0.63,0.65,0.55,0.81,0.04,0.51,1.01,0.51,0.88,0.74,0.64,0.4,0.6,0.68
k3b.csv,0.68,0.7,0.7,0.66,0.79,0.46,0.69,0.46,0.02,0.62,0.35,0.82,0.54,0.82,0.69,0.57,0.55,0.48,0.52
megameknet.csv,0.82,0.72,0.76,0.59,0.75,0.66,0.65,0.54,0.7,0.79,0.6,1.04,0.04,0.67,1.14,0.61,0.58,1.0,0.57
myfaces.csv,0.82,0.68,0.67,0.83,0.6,0.61,0.79,0.02,0.69,0.7,0.56,0.88,0.7,0.88,1.02,0.65,0.69,0.41,0.75
onotoa.csv,0.75,0.51,0.66,0.73,0.03,0.8,0.69,0.86,0.69,0.94,1.24,0.86,0.93,0.69,1.02,0.87,0.88,1.14,0.84
paintown.csv,0.03,0.81,0.62,0.6,0.75,0.61,0.67,0.71,0.6,0.83,0.62,0.67,0.49,0.61,0.61,0.61,0.51,0.5,0.63
powerfolder.csv,1.0,1.0,1.0,0.99,1.0,1.0,0.94,0.96,1.0,1.0,0.0,1.0,0.99,1.0,1.0,0.96,0.97,1.0,0.97
triplea.csv,0.54,0.08,0.59,0.58,0.69,0.64,0.64,0.45,0.65,0.54,0.36,0.89,0.55,0.6,0.24,0.62,0.52,0.36,0.48
xamj.csv,0.54,0.46,0.52,0.63,0.67,0.64,0.6,0.44,0.63,0.77,0.25,0.78,0.64,0.71,0.36,0.71,0.6,1.16,0.05
