,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.42,0.28,0.19,0.17,0.08,0.76,0.07,0.26,0.0,0.7,0.21,0.25
bigdata.csv,0.3,0.74,0.21,0.31,0.16,0.5,0.12,0.39,0.25,0.84,0.15,0.39
calcubetimer.csv,0.23,0.52,0.42,0.25,0.3,0.91,0.0,0.43,0.1,0.56,0.0,0.32
jas.csv,0.21,0.15,0.41,0.0,0.26,0.31,0.07,0.14,0.34,0.47,0.48,0.24
jbpm.csv,0.14,0.08,0.14,0.0,0.56,0.07,0.0,0.09,0.0,0.16,0.0,0.05
jgossipforum.csv,0.26,0.55,0.43,0.2,0.13,0.42,0.38,0.5,0.44,0.32,0.0,0.38
joustsim.csv,0.26,0.68,0.32,0.19,0.33,0.7,0.09,0.69,0.33,0.83,0.2,0.37
madman.csv,0.32,0.38,0.37,0.15,0.1,0.13,0.02,0.15,0.57,0.09,0.05,0.19
mule.csv,0.27,0.69,0.24,0.3,0.41,0.6,0.04,0.4,0.16,0.42,0.2,0.54
nunit.csv,0.17,0.48,0.15,0.28,0.25,0.67,0.08,0.26,0.17,0.65,0.1,0.48
piccolo2d.csv,0.27,0.43,0.42,0.53,0.28,0.51,0.0,0.37,0.44,0.34,0.0,0.38
sblim.csv,0.08,0.45,0.66,0.36,0.41,0.3,0.0,0.37,0.21,0.15,0.0,0.31
