,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.7,0.98,0.61,0.67,0.64,0.61,0.61,0.75,0.0,0.59,0.55,0.77
bigdata.csv,0.51,0.38,0.77,0.62,0.54,0.45,0.92,0.45,0.4,0.46,0.61,0.55
calcubetimer.csv,0.44,0.51,0.43,0.38,0.54,0.45,0.91,0.38,0.67,0.44,0.88,0.51
jas.csv,0.61,0.95,0.62,0.9,0.56,0.87,0.48,0.67,0.48,0.88,0.86,0.96
jbpm.csv,0.83,0.86,0.83,0.5,0.75,0.5,0.0,0.73,0.0,0.96,0.92,0.5
jgossipforum.csv,0.43,0.46,0.47,0.86,0.81,0.69,0.95,0.8,0.42,0.82,0.67,0.8
joustsim.csv,0.49,0.41,0.43,0.55,0.52,0.44,0.52,0.61,0.46,0.43,0.53,0.43
madman.csv,0.52,0.76,0.55,0.88,0.79,0.83,0.72,0.7,0.5,0.93,0.64,0.77
mule.csv,0.47,0.42,0.92,0.42,0.66,0.42,0.76,0.42,0.71,0.56,0.77,0.56
nunit.csv,0.51,0.56,0.77,0.54,0.47,0.63,0.58,0.79,0.55,0.54,0.54,0.59
piccolo2d.csv,0.4,0.63,0.5,0.5,0.59,0.42,0.0,0.43,0.42,0.68,0.83,0.82
sblim.csv,0.88,0.53,0.51,0.55,0.98,0.7,0.96,0.56,0.91,0.96,0.92,0.59
