,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.29,0.21,0.64,0.35,0.47,1.0,0.48,0.38,0.0,0.59,0.37,0.29
bigdata.csv,0.57,0.66,0.25,0.24,0.41,0.25,0.05,0.23,1.0,0.51,0.44,0.3
calcubetimer.csv,0.48,0.23,0.71,0.88,0.45,0.0,0.05,0.48,0.63,0.49,0.07,0.39
jas.csv,0.41,0.09,0.44,0.12,0.48,1.0,0.6,0.03,0.43,0.24,0.12,0.12
jbpm.csv,0.16,0.01,0.05,0.02,0.13,0.0,0.0,0.17,0.02,0.05,0.1,0.01
jgossipforum.csv,0.6,0.28,0.3,0.06,0.24,0.25,0.07,0.02,0.27,0.08,0.03,0.19
joustsim.csv,0.7,0.79,0.87,0.3,0.41,0.25,0.44,0.13,0.57,0.76,0.38,0.66
madman.csv,0.73,0.56,0.73,0.28,0.42,0.5,0.51,0.67,0.24,0.03,0.67,0.36
mule.csv,0.46,0.39,0.1,0.67,0.18,0.0,0.18,0.28,0.31,0.22,0.16,0.26
nunit.csv,0.6,0.2,0.32,0.37,0.67,0.25,0.31,0.38,0.69,0.35,0.44,0.32
piccolo2d.csv,0.56,0.11,0.23,0.24,0.28,0.0,0.0,0.25,0.27,0.11,0.05,0.13
sblim.csv,0.11,0.27,0.23,0.28,0.09,0.0,0.11,0.18,0.18,0.03,0.11,0.28
