,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,374.0,97.5,97.5,2004.5,87.5,285.5,95.5,197.5,1097.5,99.0
pclasses.csv,186.0,97.5,0.0,247.5,77.5,65.0,98.5,98.5,373.5,75.5
pfaedit.csv,87.5,97.5,97.5,1234.5,276.5,303.0,98.5,653.5,98.5,90.5
theresa.csv,729.5,97.5,97.5,414.5,558.0,31.0,95.5,1220.5,98.5,97.5
thrust.csv,198.5,94.5,92.5,0.0,97.5,266.5,94.5,1933.0,98.5,99.0
tktoolkit.csv,688.0,779.5,52.5,506.0,196.5,623.5,97.5,552.0,98.5,99.0
trinitycore.csv,87.5,97.5,94.5,765.5,654.0,93.5,98.5,197.0,643.5,95.5
tzod.csv,753.5,97.5,97.5,680.5,462.5,360.0,95.5,197.0,98.5,99.0
yaprm.csv,376.0,504.0,0.0,504.0,6.5,316.0,98.5,185.0,98.5,78.5
zemljanka.csv,373.0,97.5,97.5,950.0,196.5,189.0,98.5,197.0,197.5,99.0
