,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,v8.csv,fluent-nhibernate.csv
encog-java.csv,0.68,0.06,0.03,0.21,0.01,0.12
fluent-nhibernate.csv,0.27,0.21,0.31,0.34,0.16,0.94
h2database.csv,0.59,0.7,0.14,0.63,0.13,0.76
jaql.csv,0.89,0.77,0.26,0.74,0.32,0.41
raven-monitoring.csv,0.32,0.4,0.6,0.37,0.19,0.53
v8.csv,0.11,0.51,0.89,0.63,0.85,0.76
