,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,v8.csv,fluent-nhibernate.csv
encog-java.csv,0.37,0.08,0.05,0.34,0.02,0.17
fluent-nhibernate.csv,0.31,0.26,0.31,0.42,0.27,0.5
h2database.csv,0.37,0.41,0.23,0.62,0.22,0.43
jaql.csv,0.27,0.29,0.34,0.7,0.48,0.33
raven-monitoring.csv,0.17,0.16,0.58,0.41,0.32,0.19
v8.csv,0.07,0.26,0.54,0.43,0.91,0.22
