,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.29,0.5,0.0,0.36,0.0,0.3,0.45,0.86,0.5,0.67,1.0,0.14,0.15,0.92
codeblocks.csv,0.29,0.2,0.09,0.44,0.82,0.18,0.37,0.98,0.32,0.45,0.12,0.31,0.22,0.94
ctrlr.csv,0.26,0.5,0.0,0.0,0.6,0.0,0.5,0.71,0.0,0.18,0.26,0.95,0.0,1.0
dvt.csv,0.39,0.51,0.21,0.4,0.83,0.15,1.0,0.88,0.15,0.27,0.23,0.24,0.05,0.93
flylinkdc.csv,1.0,0.55,0.1,0.48,0.79,0.38,0.41,0.85,0.29,0.46,0.32,0.19,0.19,0.96
kowari.csv,0.07,0.43,0.38,0.0,0.83,0.25,0.58,0.62,0.0,0.2,0.11,0.17,1.0,0.94
ldview.csv,0.48,0.88,0.16,0.31,0.61,0.29,0.17,0.8,0.5,1.0,0.25,0.28,0.21,0.91
maidsafe-dht.csv,0.7,0.67,0.32,0.25,0.81,1.0,0.14,0.9,0.0,0.8,0.43,0.0,0.14,1.0
n2cms.csv,0.41,0.62,0.12,1.0,0.82,0.33,0.32,0.94,0.67,0.83,0.19,0.2,0.14,1.0
nuttx.csv,0.26,0.48,0.07,0.47,0.98,0.21,0.36,0.82,0.22,0.24,0.22,0.23,0.09,0.98
rtb-team.csv,0.44,0.57,0.08,0.46,0.76,0.36,0.4,0.83,1.0,0.58,0.36,0.0,0.11,0.95
super-tux.csv,0.27,0.52,0.09,0.41,0.83,0.19,0.29,0.75,0.29,0.36,0.21,0.26,0.11,0.99
vdsf.csv,0.27,0.51,0.94,0.38,0.82,0.18,0.29,0.74,0.29,0.36,0.21,0.26,0.09,0.95
xbrlapi.csv,0.14,1.0,0.08,0.44,0.82,0.08,0.38,0.7,0.19,0.22,0.18,0.21,0.12,0.94
