,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.09,0.09,0.0,0.14,0.0,0.25,0.19,0.1,0.21,0.4,0.95,0.11,0.2,0.22
codeblocks.csv,0.44,0.04,0.17,0.42,0.81,0.22,0.41,0.98,0.47,0.52,0.15,0.43,0.32,0.89
ctrlr.csv,0.18,0.12,0.0,0.0,0.03,0.0,0.16,0.08,0.0,0.12,0.25,0.95,0.0,0.24
dvt.csv,0.37,0.61,0.25,0.53,0.6,0.2,0.99,0.31,0.2,0.28,0.27,0.33,0.09,0.44
flylinkdc.csv,0.97,0.35,0.14,0.33,0.21,0.4,0.41,0.44,0.28,0.35,0.35,0.16,0.29,0.37
kowari.csv,0.04,0.12,0.28,0.0,0.34,0.23,0.26,0.32,0.0,0.2,0.12,0.12,0.92,0.3
ldview.csv,0.37,0.28,0.26,0.16,0.14,0.29,0.21,0.28,0.29,0.89,0.18,0.26,0.32,0.34
maidsafe-dht.csv,0.3,0.09,0.25,0.04,0.13,1.0,0.07,0.26,0.0,0.31,0.21,0.0,0.19,0.13
n2cms.csv,0.31,0.47,0.2,1.0,0.32,0.31,0.27,0.44,0.59,0.37,0.19,0.2,0.23,0.4
nuttx.csv,0.39,0.59,0.13,0.57,0.98,0.32,0.48,0.75,0.32,0.29,0.33,0.26,0.16,0.71
rtb-team.csv,0.41,0.46,0.12,0.41,0.21,0.32,0.39,0.38,1.0,0.42,0.37,0.0,0.19,0.32
super-tux.csv,0.43,0.64,0.16,0.49,0.9,0.32,0.45,0.86,0.45,0.53,0.35,0.42,0.19,0.99
vdsf.csv,0.42,0.66,0.88,0.54,0.88,0.31,0.44,0.84,0.45,0.53,0.34,0.42,0.16,0.95
xbrlapi.csv,0.1,1.0,0.14,0.43,0.77,0.07,0.34,0.36,0.22,0.13,0.24,0.22,0.17,0.28
