,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,1.01,1.0,0.63,0.63,0.78,0.61,0.56,0.46,0.53,0.9,0.53,1.0,0.99,0.74
avifile.csv,0.18,0.76,0.6,1.0,0.85,0.75,0.75,0.9,0.96,0.65,0.98,0.74,0.5,0.89
delphilhlplib.csv,0.86,0.7,0.71,0.53,0.32,0.61,0.73,0.8,0.52,0.72,0.71,1.0,0.89,0.57
fluidium.csv,1.0,0.86,0.84,0.81,0.96,0.67,0.59,1.0,1.0,0.96,1.0,0.78,1.05,1.0
gnome-jabber.csv,1.05,0.86,0.69,0.88,0.76,0.89,0.67,0.74,0.78,0.58,0.63,0.42,0.4,0.54
ipfilter.csv,0.57,0.87,1.0,0.86,1.0,0.97,0.87,0.93,1.02,0.66,0.94,1.0,0.17,0.93
jparsec.csv,0.96,1.02,0.78,0.77,1.0,0.66,0.93,0.79,0.75,0.41,0.88,1.0,0.84,0.65
loki-lib.csv,0.86,0.97,0.61,0.94,0.54,0.9,0.87,0.9,0.44,0.75,0.38,1.0,0.83,0.58
mumble.csv,1.0,0.98,0.53,1.0,0.89,0.76,1.0,0.66,0.26,0.63,0.71,1.0,0.97,1.0
opengs.csv,0.5,0.7,0.5,0.57,0.81,0.36,0.61,0.66,0.51,0.68,0.65,0.72,0.65,0.62
owfs.csv,0.75,0.55,0.91,0.84,0.66,0.95,0.9,0.63,0.58,0.88,0.85,0.65,0.76,0.53
rectracker.csv,0.99,0.9,0.25,0.9,1.0,0.99,0.9,0.84,0.68,1.0,0.89,1.0,0.97,0.97
rockbox.csv,1.07,0.91,0.83,0.97,0.98,0.89,0.86,0.62,0.64,0.85,0.81,0.85,0.85,0.46
zealos.csv,1.0,1.0,0.98,0.49,0.98,1.0,1.0,1.0,1.01,0.89,0.97,0.99,0.93,1.0
