,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.29,0.28,0.57,0.16,0.23,0.29,0.1,0.0,0.04,0.39,0.06,0.18,0.14,0.06,0.42,0.65
bdbbasic.csv,0.51,0.46,0.32,0.31,0.3,0.48,0.04,0.0,0.22,0.92,0.04,0.16,0.3,0.03,0.43,0.65
crux-framework.csv,0.65,0.33,0.04,0.56,0.2,0.88,0.86,0.39,0.76,0.18,0.74,0.1,0.43,0.46,0.1,0.16
echongl.csv,0.31,0.13,0.85,0.47,0.75,0.49,0.22,0.0,0.39,0.16,0.27,0.26,0.38,0.29,0.72,0.58
etherboot.csv,0.09,0.07,0.0,0.0,0.26,0.08,0.1,0.26,0.1,0.0,0.96,0.96,0.11,0.0,0.59,0.97
freebios.csv,0.68,0.2,0.39,0.66,0.44,0.16,0.24,0.82,0.63,0.18,0.32,0.69,0.7,0.41,0.75,0.1
gebr.csv,0.91,1.0,0.83,0.97,0.84,0.96,0.98,0.16,1.0,0.97,0.79,0.92,0.92,0.99,1.0,1.0
gnukeda.csv,0.83,0.29,0.54,0.22,0.72,0.15,0.29,0.05,0.02,0.74,0.09,0.47,0.92,0.01,0.78,0.94
google-gears.csv,0.51,0.87,0.72,0.38,0.89,1.0,0.92,0.92,0.98,0.97,1.0,0.68,0.32,0.76,0.59,0.84
gstreamer.csv,0.68,0.93,0.58,0.34,0.72,0.89,0.84,0.11,0.84,0.87,0.74,0.64,0.51,0.28,0.91,1.0
jnode.csv,0.03,0.22,0.2,0.31,0.1,0.05,0.02,0.5,0.08,0.08,0.0,0.03,0.16,0.01,0.2,0.0
metacosm.csv,0.05,0.22,0.46,0.16,0.13,0.14,0.22,0.03,0.08,0.63,0.37,0.36,0.05,0.08,0.28,0.26
openmeetings.csv,0.16,0.16,0.29,0.06,0.51,0.2,0.0,0.0,0.06,0.61,0.33,0.17,0.14,0.06,0.27,0.29
pgui.csv,0.52,0.54,0.0,0.28,0.69,0.6,0.29,0.11,0.59,0.05,0.28,0.47,0.46,0.0,0.94,1.0
tradelink.csv,0.04,0.79,0.78,0.22,0.74,0.75,0.59,0.45,0.45,0.34,0.72,0.25,0.14,0.83,0.71,0.55
wxcrp.csv,0.24,0.94,0.97,0.84,1.0,0.66,0.9,1.0,0.67,0.84,0.62,0.42,0.78,0.58,0.85,0.97
