,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.73,0.97,0.66,0.75,0.83,0.51,0.9,0.0,0.88,0.51,0.92,0.91,0.64,0.97,0.85,0.64
bdbbasic.csv,0.39,0.59,0.61,0.37,0.52,0.29,0.75,0.83,0.44,0.29,0.93,0.74,0.41,0.97,0.61,0.56
crux-framework.csv,0.6,0.46,0.95,0.68,0.94,0.6,0.46,0.89,0.51,0.69,0.48,0.92,0.75,0.69,0.93,0.86
echongl.csv,0.5,0.96,0.45,0.44,0.44,0.49,0.79,0.59,0.44,0.37,0.56,0.72,0.53,0.46,0.56,0.63
etherboot.csv,0.92,0.95,0.0,0.0,0.64,0.92,0.92,0.59,0.73,0.0,0.41,0.33,0.93,0.0,0.43,0.42
freebios.csv,0.58,0.97,0.71,0.65,0.75,0.94,0.64,0.83,0.67,0.63,0.83,0.45,0.7,0.99,0.53,0.88
gebr.csv,0.41,0.38,0.41,0.44,0.4,0.49,0.39,0.44,0.4,0.31,0.42,0.35,0.46,0.39,0.42,0.41
gnukeda.csv,0.46,0.7,0.55,0.53,0.44,0.44,0.75,0.61,0.5,0.61,0.96,0.53,0.47,0.92,0.41,0.43
google-gears.csv,0.42,0.38,0.44,0.43,0.42,0.5,0.39,0.47,0.4,0.3,0.4,0.4,0.48,0.35,0.46,0.42
gstreamer.csv,0.44,0.42,0.6,0.49,0.47,0.47,0.44,0.51,0.41,0.35,0.4,0.42,0.49,0.41,0.46,0.41
jnode.csv,0.5,0.73,0.8,0.58,0.83,0.75,0.75,0.84,0.86,0.91,0.0,0.67,0.94,0.8,0.87,0.0
metacosm.csv,0.89,0.65,0.46,0.81,0.91,0.54,0.89,0.57,0.91,0.52,0.49,0.57,0.68,0.65,0.59,0.39
openmeetings.csv,0.52,0.58,0.53,0.78,0.4,0.4,0.0,0.58,0.89,0.42,0.47,0.78,0.68,0.8,0.58,0.48
pgui.csv,0.52,0.42,0.0,0.54,0.43,0.39,0.7,0.54,0.47,0.89,0.56,0.53,0.5,0.0,0.42,0.41
tradelink.csv,0.88,0.5,0.48,0.86,0.53,0.64,0.55,0.49,0.5,0.51,0.5,0.77,0.89,0.38,0.57,0.53
wxcrp.csv,0.47,0.41,0.4,0.48,0.41,0.34,0.4,0.46,0.41,0.35,0.63,0.58,0.49,0.31,0.47,0.44
