,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.71,0.95,0.89,0.73,0.85,0.41,0.9,0.99,0.69,0.71,0.87,0.61,0.68,0.86,0.79,0.76
bdbbasic.csv,0.53,0.75,0.76,0.64,0.83,0.58,0.96,0.94,0.35,0.93,0.81,0.65,0.61,0.84,0.55,0.76
crux-framework.csv,0.85,0.56,0.75,0.81,0.75,0.92,0.89,0.8,0.84,0.61,0.8,0.8,0.68,0.73,0.1,0.94
echongl.csv,0.6,0.78,0.86,0.66,0.79,0.63,0.86,0.67,0.44,0.22,0.56,0.59,0.64,0.56,0.79,0.69
etherboot.csv,0.84,0.55,1.0,0.97,0.52,0.84,0.86,0.55,0.48,1.0,0.96,0.96,0.91,1.0,0.59,0.97
freebios.csv,0.87,0.8,0.85,0.79,0.74,0.93,0.33,1.01,0.86,0.6,0.66,0.87,0.89,0.9,0.75,0.82
gebr.csv,0.91,1.0,0.85,0.97,0.84,0.96,0.98,0.36,1.0,0.97,0.79,0.95,0.92,0.99,1.0,1.0
gnukeda.csv,0.83,0.58,0.78,0.34,0.76,0.43,0.87,0.66,0.95,1.04,0.73,0.79,0.93,0.94,0.85,0.94
google-gears.csv,0.53,0.87,0.72,0.7,0.9,1.0,0.96,0.93,0.98,0.97,1.0,0.8,0.42,0.76,0.59,0.84
gstreamer.csv,0.7,0.96,0.95,0.52,0.81,0.89,0.93,0.55,0.84,0.9,0.77,0.67,0.59,0.39,0.91,1.0
jnode.csv,1.0,0.72,0.27,0.71,1.0,1.0,0.94,0.86,0.85,0.92,1.0,0.95,0.93,0.98,0.7,0.96
metacosm.csv,0.84,0.54,0.64,0.73,0.87,0.61,0.88,0.65,0.64,0.9,0.61,0.64,0.78,0.65,0.72,0.37
openmeetings.csv,0.48,0.17,0.47,0.82,0.58,0.53,0.98,0.66,0.69,0.79,0.49,0.76,0.76,0.73,0.43,0.63
pgui.csv,0.61,0.56,1.0,0.63,0.71,0.71,0.81,0.52,0.65,0.93,0.42,0.79,0.54,1.0,0.94,1.0
tradelink.csv,0.84,0.85,0.8,0.65,0.84,0.79,0.75,0.54,0.52,0.55,0.78,0.44,0.76,0.84,0.78,0.62
wxcrp.csv,0.38,0.94,0.97,0.85,1.0,0.72,0.95,1.0,0.74,0.86,0.82,0.44,0.81,0.62,0.92,0.97
