,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,2.0,32.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,35.0,1.0
bdbbasic.csv,0.0,46.0,27.0,0.0,8.0,9.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,24.0,1.0
crux-framework.csv,0.0,11.0,9.0,2.0,0.0,5.0,1.0,0.0,8.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0
echongl.csv,3.0,12.0,1.0,2.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,56.0,1.0
etherboot.csv,1.0,2.0,411.0,0.0,0.0,0.0,3.0,0.0,1.0,136.0,3.0,1.0,0.0,342.0,34.0,1.0
freebios.csv,0.0,17.0,71.0,2.0,0.0,2.0,0.0,0.0,9.0,0.0,2.0,1.0,0.0,3.0,54.0,1.0
gebr.csv,0.0,45.0,1.0,2.0,0.0,5.0,1.0,0.0,9.0,0.0,3.0,1.0,0.0,4.0,68.0,1.0
gnukeda.csv,0.0,10.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,71.0,0.0
google-gears.csv,2.0,32.0,1.0,3.0,0.0,5.0,1.0,0.0,9.0,0.0,3.0,15.0,2.0,3.0,34.0,1.0
gstreamer.csv,4.0,44.0,1.0,0.0,4.0,3.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,64.0,1.0
jnode.csv,105.0,3.0,0.0,2.0,82.0,116.0,0.0,2.0,4.0,0.0,168.0,0.0,2.0,1.0,21.0,0.0
metacosm.csv,1.0,14.0,41.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,1.0,22.0,0.0
openmeetings.csv,3.0,0.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.0,8.0,4.0
pgui.csv,3.0,15.0,411.0,1.0,0.0,24.0,0.0,2.0,7.0,0.0,1.0,1.0,0.0,342.0,62.0,1.0
tradelink.csv,1.0,45.0,1.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,63.0,1.0
wxcrp.csv,0.0,45.0,1.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,62.0,1.0
