,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.33,0.05,0.02,0.69,0.22,0.53,0.5,1.0,0.75,0.73,0.46,0.36,0.89,0.78,0.02,0.44
bdbbasic.csv,0.41,0.13,0.04,0.63,0.22,0.4,0.5,1.0,0.56,0.72,0.64,0.37,0.83,0.89,0.04,0.44
crux-framework.csv,0.22,0.21,0.2,0.47,0.33,0.27,0.47,0.67,0.24,0.85,0.26,0.33,0.78,0.56,0.21,0.29
echongl.csv,0.39,0.22,0.04,0.58,0.27,0.36,0.42,1.0,0.44,0.93,0.42,0.31,0.8,0.71,0.02,0.49
etherboot.csv,0.42,0.53,0.0,1.0,0.43,0.5,0.58,0.84,0.67,0.0,0.28,0.2,0.73,0.0,0.04,0.47
freebios.csv,0.22,0.16,0.02,0.51,0.25,0.19,0.76,0.56,0.21,0.86,0.34,0.15,0.68,0.4,0.04,0.62
gebr.csv,0.31,0.14,0.04,0.53,0.29,0.32,0.49,0.92,0.28,0.72,0.31,0.17,0.76,0.58,0.03,0.47
gnukeda.csv,0.33,0.22,0.03,0.81,0.28,0.65,0.38,0.94,0.5,0.48,0.54,0.16,0.75,0.92,0.02,0.46
google-gears.csv,0.41,0.15,0.05,0.57,0.26,0.32,0.43,0.72,0.28,0.73,0.28,0.17,0.88,0.62,0.04,0.5
gstreamer.csv,0.34,0.12,0.02,0.69,0.24,0.32,0.41,0.92,0.31,0.7,0.29,0.23,0.81,0.78,0.03,0.47
jnode.csv,0.0,0.19,0.14,0.58,0.0,0.0,0.75,0.61,0.43,0.73,0.0,0.33,0.62,0.6,0.04,1.0
metacosm.csv,0.56,0.28,0.05,0.69,0.27,0.58,0.39,0.97,0.64,0.6,0.35,0.24,0.93,0.85,0.03,0.71
openmeetings.csv,0.59,0.49,0.08,0.78,0.34,0.54,1.0,1.0,0.67,0.68,0.43,0.28,0.85,0.87,0.06,0.57
pgui.csv,0.35,0.21,0.0,0.65,0.3,0.32,0.44,0.92,0.33,0.78,0.48,0.16,0.83,0.0,0.03,0.47
tradelink.csv,0.62,0.12,0.04,0.68,0.22,0.32,0.46,0.8,0.39,0.81,0.27,0.39,0.86,0.58,0.03,0.53
wxcrp.csv,0.55,0.14,0.04,0.56,0.27,0.34,0.43,0.72,0.28,0.72,0.22,0.33,0.76,0.65,0.02,0.44
