,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.43,0.38,0.72,0.62,0.88,0.63,0.75,0.89,0.83,0.51,0.43,0.8,0.6,0.49,0.62,0.38,0.83,0.48,0.61
auber.csv,0.51,0.56,0.34,0.39,0.4,0.47,0.49,0.5,0.28,0.49,0.51,0.45,0.48,0.71,0.36,0.45,0.48,0.39,0.54
cortex-vfx.csv,0.45,0.62,0.83,0.5,0.79,0.66,0.89,0.5,0.73,0.62,0.79,0.86,0.59,0.65,0.56,0.42,0.83,0.48,0.67
empserver.csv,0.43,0.34,0.35,0.42,0.57,0.58,0.57,0.59,0.82,0.4,0.43,0.58,0.44,0.42,0.73,0.4,0.58,0.38,0.43
flylegacy.csv,0.64,0.44,0.58,0.52,0.79,1.0,0.92,0.4,0.45,0.46,0.61,0.64,0.51,0.69,0.58,0.47,0.8,0.43,0.85
galaxium.csv,0.37,0.3,0.35,0.35,0.49,0.48,0.69,0.37,0.53,0.43,0.39,0.53,0.46,0.43,0.39,0.32,0.56,0.44,0.57
growl-for-windows.csv,0.0,0.0,0.86,0.31,0.0,0.0,0.89,0.33,0.33,0.65,0.0,0.65,0.46,0.97,0.33,0.5,0.69,0.34,0.91
k3d.csv,0.81,0.95,0.96,0.44,0.78,0.96,0.41,0.47,0.86,0.82,0.92,0.68,0.85,0.98,0.83,0.59,0.5,0.88,0.45
libarchive.csv,0.5,0.33,0.35,0.33,0.35,0.47,0.33,0.35,0.29,0.34,0.42,0.35,0.4,0.4,0.32,0.33,0.42,0.31,0.45
linux-ntfs.csv,0.46,0.41,0.37,0.33,0.43,0.99,0.48,0.4,0.27,0.41,0.43,0.44,0.48,0.97,0.35,0.45,0.36,0.33,0.46
m-a-d-n-e-s-s.csv,0.49,0.47,0.47,0.71,0.9,0.83,0.47,0.0,0.67,0.57,0.67,0.83,0.76,0.98,0.9,0.47,0.62,0.8,0.51
novembre.csv,0.53,0.53,0.88,0.52,0.96,0.78,0.49,0.0,0.88,0.86,0.46,0.8,0.89,0.92,0.92,0.6,0.75,0.88,0.46
qtwin.csv,0.99,0.88,0.96,0.5,0.95,1.0,0.0,0.8,0.88,0.75,0.98,0.88,0.72,0.45,0.86,0.53,0.67,0.67,0.0
st-filteredstatistics.csv,0.47,0.35,0.35,0.35,0.52,0.55,0.45,0.39,0.35,0.4,0.43,0.41,0.57,0.43,0.36,0.38,0.46,0.5,0.45
tweetsharp.csv,0.76,0.8,0.91,0.82,0.98,0.65,0.67,0.41,0.36,0.77,0.89,0.73,0.63,0.65,0.46,0.83,0.77,0.51,0.88
unladen-swallow.csv,0.56,0.53,0.92,0.38,0.58,0.54,0.35,0.48,0.47,0.5,0.51,0.54,0.93,0.51,0.86,0.5,0.57,0.53,0.51
wishmaster.csv,0.83,0.47,0.72,0.6,0.69,0.59,0.83,0.57,0.9,0.62,0.51,0.63,0.89,0.57,0.54,0.0,0.39,0.8,0.75
