,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.32,0.18,0.5,0.15,0.32,0.59,0.0,0.04,0.21,0.38,0.0,0.26,0.01,0.33
bdbbasic.csv,0.81,0.45,0.44,0.38,0.45,0.89,0.1,0.09,0.68,0.96,0.43,0.68,0.3,0.81
echongl.csv,0.55,0.36,1.0,0.56,0.77,0.59,0.24,0.48,0.79,0.86,0.57,0.57,0.64,0.48
etherboot.csv,0.16,0.59,0.0,0.05,0.5,0.11,0.14,0.73,0.53,0.0,0.98,0.0,0.0,0.96
ffigo.csv,0.16,0.23,0.56,0.36,0.18,0.65,0.02,0.04,0.47,0.34,0.0,0.82,0.0,0.0
freebios.csv,0.52,0.18,0.25,0.56,0.45,0.22,0.8,0.39,0.47,0.52,0.51,0.62,0.22,0.3
gebr.csv,1.0,1.0,0.81,1.0,0.86,1.0,1.0,0.59,0.95,0.99,0.96,0.96,1.0,1.0
gnukeda.csv,0.97,0.91,0.5,0.69,0.86,0.86,0.29,0.53,0.37,0.66,0.64,0.57,0.26,0.96
gstreamer.csv,0.9,0.77,0.19,0.59,0.73,0.95,0.61,0.55,0.95,0.84,0.79,0.71,0.7,1.0
jnode.csv,0.0,0.32,0.81,0.33,0.0,0.0,0.12,0.26,0.16,0.09,0.02,0.07,0.04,0.0
metacosm.csv,0.35,0.59,0.62,0.33,0.14,0.35,0.04,0.41,0.26,0.34,0.4,0.36,0.26,0.74
openmeetings.csv,0.48,0.91,0.62,0.15,0.5,0.51,0.04,0.36,0.32,0.48,0.62,0.39,0.24,0.52
pgui.csv,0.58,0.95,0.0,0.67,0.82,0.7,0.53,0.69,0.84,0.19,0.72,0.03,0.0,1.0
wxcrp.csv,0.48,0.91,1.0,0.69,1.0,0.57,0.27,1.0,0.47,0.57,0.64,0.37,0.52,0.89
