,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.31,0.15,0.07,0.25,0.31,0.57,0.0,0.08,0.31,0.5,0.0,0.39,0.02,0.35
bdbbasic.csv,0.5,0.2,0.06,0.46,0.34,0.57,0.17,0.17,0.65,0.83,0.47,0.71,0.45,0.63
echongl.csv,0.44,0.36,0.08,0.58,0.41,0.43,0.32,0.63,0.52,0.89,0.4,0.64,0.66,0.45
etherboot.csv,0.26,0.57,0.0,0.1,0.42,0.17,0.23,0.72,0.57,0.0,0.44,0.0,0.0,0.63
ffigo.csv,0.23,0.26,0.08,0.47,0.21,0.48,0.04,0.08,0.44,0.49,0.0,0.81,0.0,0.0
freebios.csv,0.32,0.17,0.04,0.54,0.32,0.25,0.78,0.46,0.3,0.65,0.42,0.61,0.29,0.4
gebr.csv,0.46,0.25,0.07,0.72,0.42,0.48,0.66,0.72,0.42,0.83,0.47,0.76,0.74,0.64
gnukeda.csv,0.51,0.33,0.06,0.72,0.43,0.54,0.33,0.65,0.4,0.67,0.45,0.64,0.39,0.64
gstreamer.csv,0.48,0.21,0.02,0.62,0.38,0.48,0.49,0.7,0.46,0.77,0.42,0.65,0.74,0.64
jnode.csv,0.0,0.25,0.23,0.43,0.0,0.0,0.21,0.37,0.22,0.16,0.04,0.12,0.07,0.0
metacosm.csv,0.43,0.27,0.08,0.45,0.16,0.43,0.07,0.58,0.38,0.44,0.39,0.48,0.39,0.73
openmeetings.csv,0.54,0.6,0.14,0.26,0.36,0.51,0.08,0.53,0.41,0.56,0.52,0.54,0.37,0.55
pgui.csv,0.37,0.24,0.0,0.64,0.43,0.42,0.48,0.76,0.43,0.29,0.56,0.05,0.0,0.64
wxcrp.csv,0.43,0.25,0.08,0.6,0.42,0.49,0.34,0.84,0.45,0.68,0.47,0.51,0.61,0.61
