,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.27,0.07,0.04,0.31,0.23,0.59,0.04,0.08,0.17,0.35,0.11,0.26,0.33
bdbbasic.csv,0.47,0.11,0.07,0.54,0.24,0.5,0.08,0.12,0.68,0.8,0.0,0.46,0.61
echongl.csv,0.42,0.17,0.06,0.57,0.39,0.45,0.17,0.41,0.6,0.88,0.44,0.38,0.6
etherboot.csv,0.0,0.51,0.0,0.0,0.46,0.05,0.0,0.71,0.53,0.0,0.04,0.34,0.03
freebios.csv,0.31,0.18,0.05,0.55,0.3,0.15,0.76,0.47,0.33,0.6,0.35,0.24,0.55
gebr.csv,0.43,0.25,0.05,0.69,0.42,0.48,0.66,0.77,0.44,0.83,0.47,0.32,0.84
gnukeda.csv,0.49,0.23,0.06,0.74,0.37,0.56,0.27,0.53,0.17,0.36,0.35,0.16,0.84
google-gears.csv,0.55,0.36,0.08,0.47,0.38,0.49,0.48,0.81,0.46,0.83,0.43,0.34,0.8
jnode.csv,0.11,0.23,0.24,0.49,0.07,0.0,0.29,0.48,0.26,0.19,0.07,0.16,0.24
openmeetings.csv,0.58,0.62,0.1,0.35,0.44,0.53,0.14,0.57,0.41,0.71,0.44,0.38,0.51
pgui.csv,0.38,0.24,0.0,0.67,0.42,0.47,0.23,0.82,0.43,0.04,0.57,0.32,0.76
tradelink.csv,0.26,0.24,0.09,0.49,0.34,0.44,0.51,0.72,0.48,0.64,0.41,0.43,0.4
wxcrp.csv,0.48,0.23,0.08,0.56,0.42,0.5,0.47,0.79,0.47,0.8,0.43,0.48,0.67
