,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.0,1.0,0.07,0.2,0.06,0.35,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
chaperon.csv,0.17,0.17,0.07,0.13,0.09,0.09,0.25,0.0,1.0,0.2,0.0,0.22,0.0,0.07,0.25
co-ode-owl-plugins.csv,0.28,0.7,0.86,0.56,0.66,0.46,0.47,0.62,0.0,0.3,0.0,0.0,0.38,0.34,0.05
e-bio-flow.csv,0.12,0.44,0.0,0.32,0.23,1.0,0.18,0.54,0.28,0.35,0.0,0.05,0.0,0.04,0.15
free-evolution.csv,0.19,0.46,0.2,0.37,0.38,0.37,0.22,0.45,0.29,0.46,0.86,0.11,0.0,0.95,0.61
jaxlib.csv,0.0,0.11,0.0,0.0,0.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jmonkeyengine.csv,0.44,0.35,0.31,1.0,0.35,0.34,0.54,0.0,0.53,0.49,0.0,0.0,0.67,0.33,0.15
jmule.csv,0.47,0.62,0.35,0.49,0.44,0.72,0.48,0.36,0.26,0.48,0.81,0.57,0.63,0.62,0.97
kaffeine.csv,0.97,0.53,0.36,0.51,0.36,0.46,0.13,0.17,0.45,0.56,0.79,0.0,0.78,0.17,0.36
nodal.csv,0.5,0.63,0.72,0.54,0.47,0.46,0.4,0.0,0.0,0.93,0.0,0.17,0.0,0.34,0.53
ogrehg.csv,0.47,0.47,0.16,0.42,0.48,0.34,0.94,0.0,0.54,0.56,0.87,0.51,0.52,0.51,0.13
onotoa.csv,0.77,0.29,0.4,0.44,1.0,0.54,0.46,0.53,0.47,0.71,0.73,0.0,0.52,0.41,0.15
papertoolkit.csv,0.0,0.0,0.0,0.07,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.1
