,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.0,0.0,0.04,0.1,0.19,0.04,0.01,0.35,0.04,0.03,0.12,0.0,0.05,0.0,0.03
chaperon.csv,0.0,0.19,0.24,0.18,0.0,0.15,0.12,0.08,0.0,0.05,0.26,0.0,0.13,0.13,0.24
co-ode-owl-plugins.csv,0.09,0.48,0.01,0.66,0.62,0.81,0.79,0.75,0.31,0.13,0.55,1.0,0.08,0.25,0.0
e-bio-flow.csv,0.27,0.42,0.05,0.1,0.25,0.02,0.27,0.15,0.44,0.13,0.32,0.0,0.08,0.06,0.1
free-evolution.csv,0.0,0.13,0.32,0.18,0.38,0.25,0.18,0.69,0.04,0.59,0.44,0.0,0.33,0.01,0.55
jaxlib.csv,0.0,0.0,0.0,0.02,0.06,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
jmonkeyengine.csv,0.09,0.39,0.5,0.0,0.25,0.23,0.53,0.44,0.33,0.68,0.26,1.0,0.33,0.42,0.03
jmule.csv,0.27,0.68,0.51,0.72,0.75,0.52,0.64,0.9,0.71,0.62,0.54,0.0,0.48,0.45,0.0
kaffeine.csv,0.09,0.81,0.71,0.74,0.88,0.81,0.97,0.96,0.69,0.76,0.57,1.0,0.58,0.96,0.9
nodal.csv,0.09,0.42,0.29,0.24,0.25,0.4,0.31,0.75,0.08,0.0,0.18,0.0,0.1,0.29,0.31
ogrehg.csv,0.82,0.77,0.87,0.44,0.62,0.31,0.02,0.35,0.75,0.57,0.43,0.0,0.82,0.74,0.97
onotoa.csv,0.27,0.55,0.7,0.76,0.0,0.56,0.82,0.27,0.81,0.56,0.65,1.0,0.73,0.86,0.07
papertoolkit.csv,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
