,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.0,1.0,0.06,0.17,0.05,0.3,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
chaperon.csv,0.14,0.14,0.06,0.11,0.07,0.07,0.21,0.0,1.0,0.17,0.0,0.18,0.0,0.06,0.21
co-ode-owl-plugins.csv,0.24,0.77,0.83,0.67,0.8,0.7,0.69,1.0,0.0,0.26,0.0,0.68,0.33,0.3,0.04
e-bio-flow.csv,0.1,0.41,0.0,0.28,0.2,1.0,0.15,0.5,0.25,0.3,0.0,0.04,0.0,0.03,0.12
free-evolution.csv,0.16,0.41,0.17,0.33,0.35,0.33,0.19,0.5,0.25,0.48,1.0,0.09,0.0,0.94,0.67
jaxlib.csv,0.0,0.09,0.0,0.0,0.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jmonkeyengine.csv,0.39,0.32,0.28,1.0,0.31,0.3,0.56,0.0,0.5,0.57,0.0,0.44,0.67,0.3,0.12
jmule.csv,0.43,0.82,0.33,0.61,0.55,0.83,0.53,1.0,0.25,0.52,1.0,0.51,0.67,0.64,0.96
kaffeine.csv,0.98,0.95,0.39,0.67,0.74,0.7,0.99,1.0,0.5,0.83,1.0,0.97,1.0,0.94,1.0
nodal.csv,0.45,0.64,0.72,0.5,0.43,0.43,0.36,0.0,0.0,0.91,0.0,0.14,0.0,0.3,0.5
ogrehg.csv,0.8,0.64,0.17,0.39,0.51,0.3,0.93,0.0,0.75,0.61,1.0,0.45,1.0,0.67,0.88
onotoa.csv,0.78,0.27,0.44,0.56,1.0,0.57,0.76,0.5,0.75,0.83,1.0,0.83,0.67,0.79,0.12
papertoolkit.csv,0.0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.08
