,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,876.0,88.5,1.5,196.5,524.5,97.5,92.5,98.5,71.5
atlc.csv,97.5,1828.0,274.5,98.5,97.5,4421.5,97.5,92.5,98.5,93.5
ipfilter.csv,96.5,2024.5,196.5,97.5,98.5,4967.0,97.5,197.5,197.5,96.5
jmol.csv,97.5,568.5,833.5,98.5,197.5,4220.0,97.5,197.5,98.5,96.5
pfaedit.csv,0.0,817.5,370.0,97.5,98.5,1009.5,97.5,96.5,98.5,57.5
rockbox.csv,0.0,607.5,563.5,178.0,98.5,1931.0,97.5,96.5,98.5,96.5
snakeyaml.csv,97.5,501.5,369.0,98.5,95.5,1867.5,97.5,96.5,98.5,200.5
theresa.csv,97.5,474.0,558.0,98.5,197.5,1414.5,97.5,96.5,98.5,96.5
trinitycore.csv,213.5,765.5,279.0,174.0,189.0,1715.0,97.5,96.5,196.5,96.5
wxcode.csv,97.5,951.5,276.5,98.5,98.5,1781.0,97.5,96.5,98.5,137.0
