,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.34,0.13,0.03,0.78,0.26,0.54,0.58,0.0,0.87,1.0,0.02
bdbbasic.csv,0.33,0.11,0.04,0.61,0.21,0.41,0.61,0.51,0.88,0.88,0.05
bibletime.csv,0.44,0.27,0.06,0.61,0.25,0.32,0.28,0.28,0.8,0.96,0.02
crux-framework.csv,0.23,0.2,0.1,0.44,0.38,0.26,0.18,0.25,0.74,0.85,0.23
etherboot.csv,0.0,0.57,0.0,0.0,0.39,1.0,0.56,0.42,1.0,0.82,0.03
gnukeda.csv,0.31,0.22,0.03,0.81,0.29,0.55,0.3,0.48,0.77,0.82,0.02
google-gears.csv,0.42,0.26,0.05,0.77,0.29,0.33,0.32,0.28,0.88,0.9,0.05
jnode.csv,0.4,0.15,0.12,0.54,0.12,0.0,0.33,0.0,0.67,0.83,0.0
openmeetings.csv,0.59,0.48,0.07,0.71,0.36,0.48,0.47,0.38,0.84,1.0,0.03
pgui.csv,0.29,0.22,0.0,0.67,0.29,0.32,0.36,0.48,0.83,0.86,0.03
wxcrp.csv,0.49,0.14,0.04,0.5,0.27,0.32,0.29,0.28,0.77,0.88,0.03
