,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,193.5,310.0,2119.0,97.5,869.5,95.5,90.5,39.5,99.0,98.5,3746.0
bdbbasic.csv,288.5,1273.5,1151.5,97.5,274.5,99.0,93.5,183.0,98.5,98.5,1905.5
bibletime.csv,387.5,1042.0,1642.5,97.5,658.5,99.0,98.5,1934.0,99.0,97.5,2542.0
crux-framework.csv,193.5,568.5,446.5,94.5,188.0,99.0,98.5,1556.0,98.5,98.5,301.0
etherboot.csv,0.0,420.5,0.0,0.0,816.0,23.5,98.5,349.0,98.5,98.5,3010.0
gnukeda.csv,192.0,459.0,2652.5,97.5,560.0,193.0,190.0,732.5,99.0,98.5,3177.0
google-gears.csv,192.0,379.5,864.5,97.5,760.0,99.0,579.0,1934.0,99.0,98.5,2859.5
jnode.csv,94.5,651.0,1834.5,94.5,88.5,260.0,188.0,310.5,188.0,91.5,706.5
openmeetings.csv,291.0,182.0,1447.5,174.0,364.0,94.5,74.5,542.0,99.0,94.5,1031.5
pgui.csv,90.5,568.5,0.0,94.5,560.0,291.5,98.5,268.5,99.0,98.5,4479.0
wxcrp.csv,192.0,1328.5,1833.5,97.5,849.5,99.0,98.5,2021.5,99.0,96.5,3172.0
