,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.28,0.4,0.49,0.44,0.74,0.25,0.56,1.0,0.26,0.47,0.42,0.3,0.41
bscwweasel.csv,0.02,0.25,0.13,0.92,0.38,0.0,0.1,0.28,0.13,0.07,0.13,0.0,0.13
capcode.csv,0.0,0.17,0.11,0.18,0.06,0.13,0.86,0.0,0.19,0.0,0.18,0.3,0.0
emite.csv,0.56,0.17,0.21,0.34,0.28,0.27,0.0,0.27,0.29,0.46,0.26,0.89,0.41
extprosys.csv,0.2,0.31,0.48,0.45,0.5,0.95,0.54,0.58,0.47,0.28,0.34,0.34,0.46
lamp.csv,0.01,0.94,0.11,0.24,0.23,0.05,0.29,0.06,0.13,0.07,0.3,0.0,0.17
retromenu.csv,0.02,0.17,0.41,0.12,1.0,0.0,0.46,0.06,0.16,0.0,0.26,0.07,0.2
smbopensoft.csv,0.97,0.47,0.67,0.29,0.8,0.24,0.58,0.4,0.36,0.54,0.74,0.23,0.49
snakeyaml.csv,0.47,0.49,0.49,0.53,0.53,0.52,0.67,0.42,0.53,0.34,0.97,0.51,0.4
stuproa-cims.csv,0.05,0.64,0.44,0.61,0.17,0.41,0.55,0.0,0.98,0.27,0.55,0.49,0.0
ta3d.csv,0.53,0.54,0.39,0.6,0.27,0.5,0.4,0.66,0.55,0.35,0.46,0.56,0.98
thout.csv,0.0,0.33,0.93,0.39,0.56,0.53,0.37,0.64,0.19,0.14,0.42,0.27,0.33
vrjuggler.csv,0.32,0.45,0.39,0.52,0.44,0.02,0.43,0.04,0.51,0.95,0.53,0.35,0.04
