,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.93,0.72,0.55,0.76,0.4,0.95,0.42,0.66,0.78,0.5,0.84,0.76,0.65
bscwweasel.csv,0.67,0.9,0.92,0.95,0.71,0.0,0.91,0.66,0.9,0.67,0.9,0.0,0.75
capcode.csv,0.0,0.94,0.95,0.96,0.5,0.96,0.9,0.0,0.96,0.0,0.9,0.9,0.0
emite.csv,0.32,0.94,0.81,0.84,0.85,0.88,0.88,0.98,0.64,0.59,0.93,0.57,0.7
extprosys.csv,0.29,0.68,0.6,0.52,0.4,0.76,0.47,0.59,0.45,0.74,0.72,0.41,0.59
lamp.csv,0.0,0.93,0.8,0.89,0.83,0.75,0.92,0.88,0.89,0.86,0.93,0.0,0.86
retromenu.csv,0.5,0.88,0.8,0.92,0.52,0.0,0.5,0.5,0.93,0.75,0.9,0.67,0.88
smbopensoft.csv,0.44,0.49,0.46,0.76,0.38,0.86,0.43,0.71,0.53,0.54,0.55,0.9,0.52
snakeyaml.csv,0.67,0.65,0.73,0.61,0.49,0.58,0.54,0.59,0.48,0.87,0.96,0.61,0.43
stuproa-cims.csv,0.27,0.54,0.49,0.52,0.34,0.49,0.38,0.5,0.78,0.39,0.44,0.4,0.41
ta3d.csv,0.37,0.36,0.5,0.47,0.35,0.52,0.39,0.43,0.36,0.38,0.44,0.35,0.44
thout.csv,0.0,0.98,0.75,0.96,0.58,0.66,0.69,0.73,0.98,0.92,0.96,0.94,0.95
vrjuggler.csv,0.7,0.56,0.75,0.63,0.59,0.91,0.6,0.88,0.79,0.94,0.61,0.77,0.75
