,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.35,0.2,0.44,0.23,0.63,0.3,0.25,0.99,0.24,0.33,0.31,0.33,0.5
bscwweasel.csv,0.04,0.25,0.18,0.92,0.4,0.0,0.09,0.26,0.18,0.11,0.16,0.0,0.21
capcode.csv,0.0,0.12,0.12,0.13,0.09,0.15,0.91,0.0,0.22,0.0,0.12,0.31,0.0
emite.csv,0.61,0.13,0.17,0.23,0.29,0.26,0.0,0.22,0.23,0.29,0.17,0.92,0.48
extprosys.csv,0.61,0.09,0.29,0.23,0.46,0.96,0.24,0.47,0.32,0.16,0.13,0.57,0.55
lamp.csv,0.02,0.93,0.16,0.28,0.3,0.07,0.24,0.09,0.19,0.09,0.34,0.0,0.24
retromenu.csv,0.04,0.18,0.46,0.12,1.0,0.0,0.28,0.1,0.2,0.0,0.32,0.12,0.28
smbopensoft.csv,0.98,0.14,0.49,0.16,0.63,0.18,0.29,0.43,0.28,0.32,0.44,0.29,0.57
snakeyaml.csv,0.55,0.15,0.3,0.2,0.41,0.43,0.31,0.42,0.37,0.22,0.98,0.47,0.8
stuproa-cims.csv,0.65,0.21,0.39,0.24,0.49,0.43,0.26,0.48,0.99,0.35,0.24,0.49,0.79
ta3d.csv,0.57,0.19,0.38,0.24,0.5,0.4,0.24,0.53,0.45,0.36,0.23,0.55,0.99
thout.csv,0.0,0.13,0.95,0.19,0.55,0.38,0.2,0.49,0.19,0.14,0.37,0.29,0.4
vrjuggler.csv,0.33,0.15,0.26,0.19,0.34,0.03,0.18,0.04,0.43,0.94,0.21,0.35,0.05
