,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.56,0.47,0.56,0.73,0.48,0.44,0.48,0.42,0.37,0.55,0.66,0.5,0.45,0.43,0.7,0.46
arcallians.csv,0.45,0.42,0.48,0.66,0.61,0.43,0.48,0.63,0.41,0.55,0.93,0.84,0.41,0.47,0.46,0.51
arianne.csv,0.48,0.42,0.42,0.5,0.48,0.55,0.48,0.36,0.37,0.4,0.46,0.38,0.35,0.4,0.61,0.49
aztec.csv,0.88,0.51,0.82,0.97,0.51,0.85,0.42,0.52,0.68,0.52,0.57,0.56,0.97,0.6,0.0,0.73
bl-toolkit.csv,0.43,0.46,0.54,0.63,0.48,0.47,0.44,0.36,0.4,0.39,0.46,0.39,0.36,0.63,0.4,0.48
clamav.csv,0.41,0.4,0.61,0.4,0.38,0.42,0.38,0.34,0.46,0.43,0.37,0.41,0.42,0.37,0.37,0.51
gnupdate.csv,0.54,0.46,0.89,0.58,0.48,0.44,0.51,0.96,0.37,0.53,0.65,0.58,0.4,0.6,0.72,0.49
les-indemodables.csv,0.39,0.44,0.46,0.42,0.39,0.37,0.5,0.37,0.5,0.52,0.37,0.39,0.53,0.37,0.36,0.54
mbse.csv,0.51,0.49,0.88,0.51,0.47,0.45,0.39,0.51,0.38,0.43,0.48,0.41,0.39,0.5,0.47,0.81
ns-3-dev-def-routing.csv,0.59,0.59,0.49,0.91,0.55,0.82,0.53,0.36,0.46,0.71,0.49,0.45,0.51,0.55,0.94,0.54
openxava.csv,0.64,0.49,0.86,0.53,0.88,0.41,0.4,0.96,0.43,0.4,0.46,0.52,0.66,0.67,0.56,0.5
phonon-vlc-mplayer.csv,0.86,0.53,0.59,0.87,0.55,0.96,0.5,0.62,0.43,0.78,0.58,0.55,0.45,0.54,0.92,0.5
qgis.csv,0.7,0.5,0.9,0.63,0.65,0.95,0.52,0.0,0.47,0.8,0.0,0.0,0.49,0.49,0.56,0.53
vars-redux.csv,0.51,0.52,0.41,0.55,0.42,0.94,0.49,0.37,0.44,0.44,0.51,0.54,0.58,0.43,0.47,0.48
xapian.csv,0.46,0.44,0.43,0.63,0.51,0.43,0.51,0.36,0.37,0.55,0.62,0.49,0.52,0.4,0.72,0.55
yafdotnet.csv,0.39,0.36,0.5,0.39,0.35,0.37,0.36,0.33,0.35,0.8,0.86,0.48,0.45,0.37,0.42,0.5
